Item,Value,Parameters,Max,Avg,Min,Test 1 - raw,Test 1 - ppfd
Measurement Time,08/10/2018 16:28:45,380,N/A,N/A,N/A,0.003,0.010
Product Name*,106,381,N/A,N/A,N/A,0.003,0.010
Manufacturer,,382,N/A,N/A,N/A,0.003,0.010
Plant Name,,383,N/A,N/A,N/A,0.003,0.010
User,,384,N/A,N/A,N/A,0.002,0.010
Temperature(℃),27.28,385,N/A,N/A,N/A,0.002,0.009
Humidity(%),55.54,386,N/A,N/A,N/A,0.002,0.010
Distance to Light Source(m),,387,N/A,N/A,N/A,0.002,0.010
Lamp warm-up period(min),,388,N/A,N/A,N/A,0.003,0.010
Height of Plant(mm),,389,N/A,N/A,N/A,0.003,0.010
Note,"",390,N/A,N/A,N/A,0.003,0.011
,,391,N/A,N/A,N/A,0.003,0.012
,,392,N/A,N/A,N/A,0.003,0.012
,,393,N/A,N/A,N/A,0.003,0.012
,,394,N/A,N/A,N/A,0.003,0.012
,,395,N/A,N/A,N/A,0.003,0.012
,,396,N/A,N/A,N/A,0.003,0.013
,,397,N/A,N/A,N/A,0.003,0.013
,,398,N/A,N/A,N/A,0.003,0.013
,,399,N/A,N/A,N/A,0.003,0.013
,,400,N/A,N/A,N/A,0.003,0.013
,,401,N/A,N/A,N/A,0.003,0.013
,,402,N/A,N/A,N/A,0.003,0.013
,,403,N/A,N/A,N/A,0.003,0.013
,,404,N/A,N/A,N/A,0.003,0.013
,,405,N/A,N/A,N/A,0.003,0.014
,,406,N/A,N/A,N/A,0.003,0.014
,,407,N/A,N/A,N/A,0.003,0.013
,,408,N/A,N/A,N/A,0.003,0.014
,,409,N/A,N/A,N/A,0.003,0.014
,,410,N/A,N/A,N/A,0.003,0.015
,,411,N/A,N/A,N/A,0.004,0.016
,,412,N/A,N/A,N/A,0.004,0.017
,,413,N/A,N/A,N/A,0.004,0.018
,,414,N/A,N/A,N/A,0.005,0.020
,,415,N/A,N/A,N/A,0.005,0.023
,,416,N/A,N/A,N/A,0.006,0.026
,,417,N/A,N/A,N/A,0.007,0.030
,,418,N/A,N/A,N/A,0.008,0.034
,,419,N/A,N/A,N/A,0.009,0.039
,,420,N/A,N/A,N/A,0.010,0.044
,,421,N/A,N/A,N/A,0.012,0.051
,,422,N/A,N/A,N/A,0.014,0.059
,,423,N/A,N/A,N/A,0.016,0.068
,,424,N/A,N/A,N/A,0.018,0.079
,,425,N/A,N/A,N/A,0.021,0.092
,,426,N/A,N/A,N/A,0.024,0.107
,,427,N/A,N/A,N/A,0.029,0.125
,,428,N/A,N/A,N/A,0.033,0.146
,,429,N/A,N/A,N/A,0.039,0.171
,,430,N/A,N/A,N/A,0.046,0.201
,,431,N/A,N/A,N/A,0.053,0.235
,,432,N/A,N/A,N/A,0.062,0.274
