Item,Value,Parameters,Max,Avg,Min,Test 1 - raw,Test 1 - ppfd
,,507,N/A,N/A,N/A,0.018,0.104
,,508,N/A,N/A,N/A,0.019,0.106
,,509,N/A,N/A,N/A,0.019,0.108
,,510,N/A,N/A,N/A,0.019,0.111
,,511,N/A,N/A,N/A,0.020,0.114
,,512,N/A,N/A,N/A,0.020,0.117
,,513,N/A,N/A,N/A,0.021,0.120
,,514,N/A,N/A,N/A,0.021,0.123
,,515,N/A,N/A,N/A,0.022,0.127
,,516,N/A,N/A,N/A,0.023,0.131
,,517,N/A,N/A,N/A,0.023,0.134
,,518,N/A,N/A,N/A,0.024,0.138
,,519,N/A,N/A,N/A,0.024,0.142
,,520,N/A,N/A,N/A,0.025,0.146
,,521,N/A,N/A,N/A,0.026,0.150
,,522,N/A,N/A,N/A,0.026,0.153
,,523,N/A,N/A,N/A,0.026,0.156
,,524,N/A,N/A,N/A,0.027,0.158
,,525,N/A,N/A,N/A,0.027,0.161
,,526,N/A,N/A,N/A,0.028,0.163
,,527,N/A,N/A,N/A,0.028,0.165
,,528,N/A,N/A,N/A,0.028,0.168
,,529,N/A,N/A,N/A,0.029,0.170
,,530,N/A,N/A,N/A,0.029,0.172
,,531,N/A,N/A,N/A,0.029,0.174
,,532,N/A,N/A,N/A,0.030,0.177
,,533,N/A,N/A,N/A,0.030,0.180
,,534,N/A,N/A,N/A,0.030,0.183
,,535,N/A,N/A,N/A,0.031,0.186
,,536,N/A,N/A,N/A,0.032,0.190
,,537,N/A,N/A,N/A,0.032,0.194
,,538,N/A,N/A,N/A,0.033,0.198
,,539,N/A,N/A,N/A,0.033,0.202
,,540,N/A,N/A,N/A,0.034,0.206
,,541,N/A,N/A,N/A,0.034,0.210
,,542,N/A,N/A,N/A,0.035,0.212
,,543,N/A,N/A,N/A,0.035,0.215
,,544,N/A,N/A,N/A,0.036,0.217
,,545,N/A,N/A,N/A,0.036,0.219
,,546,N/A,N/A,N/A,0.036,0.221
,,547,N/A,N/A,N/A,0.036,0.222
,,548,N/A,N/A,N/A,0.036,0.223
,,549,N/A,N/A,N/A,0.036,0.224
,,550,N/A,N/A,N/A,0.036,0.224
,,551,N/A,N/A,N/A,0.036,0.225
,,552,N/A,N/A,N/A,0.036,0.226
,,553,N/A,N/A,N/A,0.036,0.227
,,554,N/A,N/A,N/A,0.037,0.228
,,555,N/A,N/A,N/A,0.037,0.229
,,556,N/A,N/A,N/A,0.037,0.230
,,557,N/A,N/A,N/A,0.037,0.232
,,558,N/A,N/A,N/A,0.037,0.233
,,559,N/A,N/A,N/A,0.037,0.235
,,560,N/A,N/A,N/A,0.038,0.237
,,561,N/A,N/A,N/A,0.038,0.239
,,562,N/A,N/A,N/A,0.038,0.240
,,563,N/A,N/A,N/A,0.038,0.241
,,564,N/A,N/A,N/A,0.038,0.243
,,565,N/A,N/A,N/A,0.039,0.245
,,566,N/A,N/A,N/A,0.039,0.246
,,567,N/A,N/A,N/A,0.039,0.247
,,568,N/A,N/A,N/A,0.039,0.248
,,569,N/A,N/A,N/A,0.039,0.250
,,570,N/A,N/A,N/A,0.039,0.251
,,571,N/A,N/A,N/A,0.039,0.252
,,572,N/A,N/A,N/A,0.039,0.254
,,573,N/A,N/A,N/A,0.040,0.255
,,574,N/A,N/A,N/A,0.040,0.257
,,575,N/A,N/A,N/A,0.040,0.258
,,576,N/A,N/A,N/A,0.040,0.259
,,577,N/A,N/A,N/A,0.040,0.260
,,578,N/A,N/A,N/A,0.040,0.261
,,579,N/A,N/A,N/A,0.040,0.262
,,580,N/A,N/A,N/A,0.041,0.264
,,581,N/A,N/A,N/A,0.041,0.266
,,582,N/A,N/A,N/A,0.041,0.268
,,583,N/A,N/A,N/A,0.041,0.270
,,584,N/A,N/A,N/A,0.042,0.273
,,585,N/A,N/A,N/A,0.042,0.276
,,586,N/A,N/A,N/A,0.042,0.278
,,587,N/A,N/A,N/A,0.043,0.281
,,588,N/A,N/A,N/A,0.043,0.283
,,589,N/A,N/A,N/A,0.043,0.285
,,590,N/A,N/A,N/A,0.043,0.287
,,591,N/A,N/A,N/A,0.044,0.289
,,592,N/A,N/A,N/A,0.044,0.291
,,593,N/A,N/A,N/A,0.044,0.292
,,594,N/A,N/A,N/A,0.044,0.293
,,595,N/A,N/A,N/A,0.044,0.293
,,596,N/A,N/A,N/A,0.044,0.294
,,597,N/A,N/A,N/A,0.044,0.294
,,598,N/A,N/A,N/A,0.044,0.295
,,599,N/A,N/A,N/A,0.044,0.297
,,600,N/A,N/A,N/A,0.044,0.299
,,601,N/A,N/A,N/A,0.045,0.301
,,602,N/A,N/A,N/A,0.045,0.304
,,603,N/A,N/A,N/A,0.045,0.308
,,604,N/A,N/A,N/A,0.046,0.313
,,605,N/A,N/A,N/A,0.047,0.319
,,606,N/A,N/A,N/A,0.048,0.326
,,607,N/A,N/A,N/A,0.049,0.334
,,608,N/A,N/A,N/A,0.050,0.342
,,609,N/A,N/A,N/A,0.051,0.351
,,610,N/A,N/A,N/A,0.053,0.361
,,611,N/A,N/A,N/A,0.054,0.373
,,612,N/A,N/A,N/A,0.056,0.386
,,613,N/A,N/A,N/A,0.058,0.400
,,614,N/A,N/A,N/A,0.060,0.414
,,615,N/A,N/A,N/A,0.062,0.429
,,616,N/A,N/A,N/A,0.064,0.446
,,617,N/A,N/A,N/A,0.067,0.464
,,618,N/A,N/A,N/A,0.070,0.483
,,619,N/A,N/A,N/A,0.072,0.504
,,620,N/A,N/A,N/A,0.076,0.527
,,621,N/A,N/A,N/A,0.079,0.552
,,622,N/A,N/A,N/A,0.083,0.578
,,623,N/A,N/A,N/A,0.087,0.606
,,624,N/A,N/A,N/A,0.091,0.636
,,625,N/A,N/A,N/A,0.095,0.668
,,626,N/A,N/A,N/A,0.100,0.704
,,627,N/A,N/A,N/A,0.105,0.743
,,628,N/A,N/A,N/A,0.111,0.786
,,629,N/A,N/A,N/A,0.118,0.836
,,630,N/A,N/A,N/A,0.126,0.890
,,631,N/A,N/A,N/A,0.134,0.948
,,632,N/A,N/A,N/A,0.143,1.015
,,633,N/A,N/A,N/A,0.153,1.091
,,634,N/A,N/A,N/A,0.166,1.179
,,635,N/A,N/A,N/A,0.179,1.279
,,636,N/A,N/A,N/A,0.195,1.394
,,637,N/A,N/A,N/A,0.213,1.525
,,638,N/A,N/A,N/A,0.233,1.673
,,639,N/A,N/A,N/A,0.256,1.837
,,640,N/A,N/A,N/A,0.281,2.019
,,641,N/A,N/A,N/A,0.309,2.222
,,642,N/A,N/A,N/A,0.339,2.447
,,643,N/A,N/A,N/A,0.373,2.694
,,644,N/A,N/A,N/A,0.409,2.961
,,645,N/A,N/A,N/A,0.448,3.247
,,646,N/A,N/A,N/A,0.490,3.556
,,647,N/A,N/A,N/A,0.535,3.885
,,648,N/A,N/A,N/A,0.582,4.237
,,649,N/A,N/A,N/A,0.632,4.606
,,650,N/A,N/A,N/A,0.684,4.992
,,651,N/A,N/A,N/A,0.737,5.389
,,652,N/A,N/A,N/A,0.791,5.790
,,653,N/A,N/A,N/A,0.842,6.175
,,654,N/A,N/A,N/A,0.889,6.530
,,655,N/A,N/A,N/A,0.930,6.842
,,656,N/A,N/A,N/A,0.963,7.099
,,657,N/A,N/A,N/A,0.987,7.285
,,658,N/A,N/A,N/A,1.000,7.388
,,659,N/A,N/A,N/A,1.000,7.403
,,660,N/A,N/A,N/A,0.988,7.328
,,661,N/A,N/A,N/A,0.965,7.163
,,662,N/A,N/A,N/A,0.930,6.915
,,663,N/A,N/A,N/A,0.885,6.589
,,664,N/A,N/A,N/A,0.832,6.204
,,665,N/A,N/A,N/A,0.773,5.778
,,666,N/A,N/A,N/A,0.711,5.321
,,667,N/A,N/A,N/A,0.647,4.849
,,668,N/A,N/A,N/A,0.583,4.376
,,669,N/A,N/A,N/A,0.521,3.919
,,670,N/A,N/A,N/A,0.463,3.483
,,671,N/A,N/A,N/A,0.408,3.076
,,672,N/A,N/A,N/A,0.358,2.699
