Item,Value,Parameters,Max,Avg,Min,Test 1 - raw,Test 1 - ppfd
Measurement Time,08/10/2018 16:28:31,380,N/A,N/A,N/A,0.003,0.011
Product Name*,105,381,N/A,N/A,N/A,0.003,0.012
Manufacturer,,382,N/A,N/A,N/A,0.003,0.012
Plant Name,,383,N/A,N/A,N/A,0.003,0.012
User,,384,N/A,N/A,N/A,0.003,0.012
Temperature(℃),27.34,385,N/A,N/A,N/A,0.003,0.012
Humidity(%),55.71,386,N/A,N/A,N/A,0.003,0.012
Distance to Light Source(m),,387,N/A,N/A,N/A,0.003,0.013
Lamp warm-up period(min),,388,N/A,N/A,N/A,0.003,0.013
Height of Plant(mm),,389,N/A,N/A,N/A,0.003,0.013
Note,"",390,N/A,N/A,N/A,0.003,0.013
,,391,N/A,N/A,N/A,0.003,0.013
,,392,N/A,N/A,N/A,0.003,0.013
,,393,N/A,N/A,N/A,0.003,0.013
,,394,N/A,N/A,N/A,0.003,0.013
,,395,N/A,N/A,N/A,0.003,0.013
,,396,N/A,N/A,N/A,0.003,0.013
,,397,N/A,N/A,N/A,0.003,0.014
,,398,N/A,N/A,N/A,0.003,0.014
,,399,N/A,N/A,N/A,0.003,0.014
,,400,N/A,N/A,N/A,0.003,0.014
,,401,N/A,N/A,N/A,0.003,0.015
,,402,N/A,N/A,N/A,0.003,0.015
,,403,N/A,N/A,N/A,0.004,0.015
,,404,N/A,N/A,N/A,0.004,0.016
,,405,N/A,N/A,N/A,0.004,0.017
,,406,N/A,N/A,N/A,0.004,0.018
,,407,N/A,N/A,N/A,0.004,0.019
,,408,N/A,N/A,N/A,0.004,0.020
,,409,N/A,N/A,N/A,0.005,0.020
,,410,N/A,N/A,N/A,0.005,0.021
,,411,N/A,N/A,N/A,0.005,0.023
,,412,N/A,N/A,N/A,0.006,0.025
,,413,N/A,N/A,N/A,0.006,0.028
,,414,N/A,N/A,N/A,0.007,0.031
,,415,N/A,N/A,N/A,0.008,0.035
,,416,N/A,N/A,N/A,0.009,0.039
,,417,N/A,N/A,N/A,0.010,0.044
,,418,N/A,N/A,N/A,0.011,0.050
,,419,N/A,N/A,N/A,0.013,0.057
,,420,N/A,N/A,N/A,0.015,0.066
,,421,N/A,N/A,N/A,0.017,0.076
,,422,N/A,N/A,N/A,0.020,0.089
,,423,N/A,N/A,N/A,0.023,0.103
,,424,N/A,N/A,N/A,0.026,0.119
,,425,N/A,N/A,N/A,0.030,0.139
,,426,N/A,N/A,N/A,0.036,0.163
,,427,N/A,N/A,N/A,0.042,0.192
,,428,N/A,N/A,N/A,0.049,0.225
,,429,N/A,N/A,N/A,0.058,0.265
,,430,N/A,N/A,N/A,0.068,0.312
,,431,N/A,N/A,N/A,0.079,0.365
,,432,N/A,N/A,N/A,0.092,0.427
,,433,N/A,N/A,N/A,0.107,0.498
,,434,N/A,N/A,N/A,0.124,0.579
,,435,N/A,N/A,N/A,0.144,0.671
,,436,N/A,N/A,N/A,0.166,0.774
,,437,N/A,N/A,N/A,0.190,0.889
,,438,N/A,N/A,N/A,0.217,1.018
,,439,N/A,N/A,N/A,0.247,1.162
,,440,N/A,N/A,N/A,0.280,1.320
,,441,N/A,N/A,N/A,0.316,1.496
,,442,N/A,N/A,N/A,0.356,1.687
,,443,N/A,N/A,N/A,0.398,1.889
,,444,N/A,N/A,N/A,0.441,2.100
,,445,N/A,N/A,N/A,0.486,2.321
,,446,N/A,N/A,N/A,0.531,2.538
,,447,N/A,N/A,N/A,0.572,2.743
