Item,Value,Parameters,Max,Avg,Min,Test 1 - raw,Test 1 - ppfd
Measurement Time,08/10/2018 16:29:15,380,N/A,N/A,N/A,0.002,0.007
Product Name*,108,381,N/A,N/A,N/A,0.002,0.007
Manufacturer,,382,N/A,N/A,N/A,0.002,0.008
Plant Name,,383,N/A,N/A,N/A,0.002,0.008
User,,384,N/A,N/A,N/A,0.002,0.008
Temperature(℃),27.26,385,N/A,N/A,N/A,0.002,0.007
Humidity(%),55.51,386,N/A,N/A,N/A,0.002,0.008
Distance to Light Source(m),,387,N/A,N/A,N/A,0.002,0.008
Lamp warm-up period(min),,388,N/A,N/A,N/A,0.002,0.008
Height of Plant(mm),,389,N/A,N/A,N/A,0.002,0.008
Note,"",390,N/A,N/A,N/A,0.002,0.008
,,391,N/A,N/A,N/A,0.002,0.008
,,392,N/A,N/A,N/A,0.002,0.008
,,393,N/A,N/A,N/A,0.002,0.009
,,394,N/A,N/A,N/A,0.002,0.009
,,395,N/A,N/A,N/A,0.002,0.009
,,396,N/A,N/A,N/A,0.002,0.009
,,397,N/A,N/A,N/A,0.002,0.009
,,398,N/A,N/A,N/A,0.002,0.008
,,399,N/A,N/A,N/A,0.002,0.009
,,400,N/A,N/A,N/A,0.002,0.009
,,401,N/A,N/A,N/A,0.002,0.009
,,402,N/A,N/A,N/A,0.002,0.009
,,403,N/A,N/A,N/A,0.002,0.010
,,404,N/A,N/A,N/A,0.003,0.010
,,405,N/A,N/A,N/A,0.003,0.011
,,406,N/A,N/A,N/A,0.003,0.012
,,407,N/A,N/A,N/A,0.003,0.012
,,408,N/A,N/A,N/A,0.003,0.013
,,409,N/A,N/A,N/A,0.003,0.014
,,410,N/A,N/A,N/A,0.004,0.015
,,411,N/A,N/A,N/A,0.004,0.017
,,412,N/A,N/A,N/A,0.004,0.018
,,413,N/A,N/A,N/A,0.005,0.019
,,414,N/A,N/A,N/A,0.005,0.021
,,415,N/A,N/A,N/A,0.006,0.024
,,416,N/A,N/A,N/A,0.006,0.027
,,417,N/A,N/A,N/A,0.007,0.030
,,418,N/A,N/A,N/A,0.008,0.034
,,419,N/A,N/A,N/A,0.009,0.039
,,420,N/A,N/A,N/A,0.010,0.045
,,421,N/A,N/A,N/A,0.012,0.052
,,422,N/A,N/A,N/A,0.014,0.060
,,423,N/A,N/A,N/A,0.016,0.070
,,424,N/A,N/A,N/A,0.019,0.081
,,425,N/A,N/A,N/A,0.022,0.095
,,426,N/A,N/A,N/A,0.025,0.110
,,427,N/A,N/A,N/A,0.029,0.128
,,428,N/A,N/A,N/A,0.034,0.150
,,429,N/A,N/A,N/A,0.040,0.175
,,430,N/A,N/A,N/A,0.046,0.205
,,431,N/A,N/A,N/A,0.054,0.239
,,432,N/A,N/A,N/A,0.062,0.278
,,433,N/A,N/A,N/A,0.072,0.322
,,434,N/A,N/A,N/A,0.083,0.372
,,435,N/A,N/A,N/A,0.096,0.429
,,436,N/A,N/A,N/A,0.110,0.494
,,437,N/A,N/A,N/A,0.126,0.568
,,438,N/A,N/A,N/A,0.144,0.650
,,439,N/A,N/A,N/A,0.164,0.743
,,440,N/A,N/A,N/A,0.186,0.846
,,441,N/A,N/A,N/A,0.211,0.962
,,442,N/A,N/A,N/A,0.239,1.090
,,443,N/A,N/A,N/A,0.269,1.230
,,444,N/A,N/A,N/A,0.301,1.377
,,445,N/A,N/A,N/A,0.334,1.532
,,446,N/A,N/A,N/A,0.366,1.684
,,447,N/A,N/A,N/A,0.397,1.831
,,448,N/A,N/A,N/A,0.426,1.969
,,449,N/A,N/A,N/A,0.451,2.090
,,450,N/A,N/A,N/A,0.472,2.190
,,451,N/A,N/A,N/A,0.486,2.261
,,452,N/A,N/A,N/A,0.493,2.301
,,453,N/A,N/A,N/A,0.494,2.307
,,454,N/A,N/A,N/A,0.487,2.281
,,455,N/A,N/A,N/A,0.474,2.226
,,456,N/A,N/A,N/A,0.455,2.141
