Item,Value,Parameters,Max,Avg,Min,Test 1 - raw,Test 1 - ppfd
Measurement Time,08/10/2018 16:29:31,380,N/A,N/A,N/A,0.002,0.010
Product Name*,109,381,N/A,N/A,N/A,0.002,0.010
Manufacturer,,382,N/A,N/A,N/A,0.002,0.010
Plant Name,,383,N/A,N/A,N/A,0.003,0.011
User,,384,N/A,N/A,N/A,0.003,0.011
Temperature(℃),27.24,385,N/A,N/A,N/A,0.003,0.011
Humidity(%),55.34,386,N/A,N/A,N/A,0.003,0.012
Distance to Light Source(m),,387,N/A,N/A,N/A,0.003,0.012
Lamp warm-up period(min),,388,N/A,N/A,N/A,0.003,0.012
Height of Plant(mm),,389,N/A,N/A,N/A,0.003,0.012
Note,"",390,N/A,N/A,N/A,0.003,0.013
,,391,N/A,N/A,N/A,0.003,0.013
,,392,N/A,N/A,N/A,0.003,0.013
,,393,N/A,N/A,N/A,0.003,0.013
,,394,N/A,N/A,N/A,0.003,0.014
,,395,N/A,N/A,N/A,0.003,0.014
,,396,N/A,N/A,N/A,0.004,0.015
,,397,N/A,N/A,N/A,0.004,0.016
,,398,N/A,N/A,N/A,0.004,0.016
,,399,N/A,N/A,N/A,0.004,0.016
,,400,N/A,N/A,N/A,0.004,0.017
,,401,N/A,N/A,N/A,0.004,0.017
,,402,N/A,N/A,N/A,0.004,0.018
,,403,N/A,N/A,N/A,0.004,0.019
,,404,N/A,N/A,N/A,0.004,0.019
,,405,N/A,N/A,N/A,0.005,0.020
,,406,N/A,N/A,N/A,0.005,0.020
,,407,N/A,N/A,N/A,0.005,0.021
,,408,N/A,N/A,N/A,0.005,0.021
,,409,N/A,N/A,N/A,0.005,0.022
,,410,N/A,N/A,N/A,0.005,0.023
,,411,N/A,N/A,N/A,0.006,0.025
,,412,N/A,N/A,N/A,0.006,0.027
,,413,N/A,N/A,N/A,0.006,0.029
,,414,N/A,N/A,N/A,0.007,0.031
,,415,N/A,N/A,N/A,0.008,0.035
,,416,N/A,N/A,N/A,0.009,0.040
,,417,N/A,N/A,N/A,0.010,0.046
,,418,N/A,N/A,N/A,0.012,0.053
,,419,N/A,N/A,N/A,0.014,0.062
,,420,N/A,N/A,N/A,0.016,0.072
,,421,N/A,N/A,N/A,0.018,0.083
,,422,N/A,N/A,N/A,0.021,0.097
,,423,N/A,N/A,N/A,0.025,0.112
,,424,N/A,N/A,N/A,0.028,0.130
,,425,N/A,N/A,N/A,0.033,0.151
,,426,N/A,N/A,N/A,0.038,0.176
,,427,N/A,N/A,N/A,0.045,0.205
,,428,N/A,N/A,N/A,0.052,0.240
,,429,N/A,N/A,N/A,0.061,0.280
,,430,N/A,N/A,N/A,0.071,0.327
,,431,N/A,N/A,N/A,0.082,0.381
,,432,N/A,N/A,N/A,0.095,0.441
,,433,N/A,N/A,N/A,0.110,0.510
,,434,N/A,N/A,N/A,0.126,0.588
,,435,N/A,N/A,N/A,0.145,0.676
,,436,N/A,N/A,N/A,0.165,0.773
,,437,N/A,N/A,N/A,0.188,0.881
,,438,N/A,N/A,N/A,0.213,1.002
,,439,N/A,N/A,N/A,0.241,1.137
,,440,N/A,N/A,N/A,0.272,1.285
,,441,N/A,N/A,N/A,0.306,1.450
,,442,N/A,N/A,N/A,0.344,1.631
,,443,N/A,N/A,N/A,0.384,1.824
,,444,N/A,N/A,N/A,0.426,2.030
,,445,N/A,N/A,N/A,0.470,2.247
,,446,N/A,N/A,N/A,0.515,2.464
,,447,N/A,N/A,N/A,0.557,2.675
,,448,N/A,N/A,N/A,0.597,2.871
,,449,N/A,N/A,N/A,0.632,3.045
,,450,N/A,N/A,N/A,0.661,3.192
,,451,N/A,N/A,N/A,0.682,3.302
,,452,N/A,N/A,N/A,0.695,3.371
,,453,N/A,N/A,N/A,0.698,3.395
,,454,N/A,N/A,N/A,0.693,3.377
,,455,N/A,N/A,N/A,0.679,3.317
,,456,N/A,N/A,N/A,0.656,3.211
,,457,N/A,N/A,N/A,0.626,3.071
,,458,N/A,N/A,N/A,0.591,2.907
,,459,N/A,N/A,N/A,0.553,2.727
,,460,N/A,N/A,N/A,0.514,2.538
,,461,N/A,N/A,N/A,0.474,2.344
,,462,N/A,N/A,N/A,0.435,2.155
,,463,N/A,N/A,N/A,0.397,1.973
,,464,N/A,N/A,N/A,0.362,1.803
,,465,N/A,N/A,N/A,0.330,1.645
,,466,N/A,N/A,N/A,0.300,1.501
,,467,N/A,N/A,N/A,0.274,1.372
,,468,N/A,N/A,N/A,0.250,1.256
,,469,N/A,N/A,N/A,0.229,1.151
,,470,N/A,N/A,N/A,0.209,1.054
,,471,N/A,N/A,N/A,0.191,0.965
,,472,N/A,N/A,N/A,0.174,0.882
,,473,N/A,N/A,N/A,0.158,0.804
,,474,N/A,N/A,N/A,0.144,0.732
,,475,N/A,N/A,N/A,0.130,0.665
,,476,N/A,N/A,N/A,0.118,0.603
,,477,N/A,N/A,N/A,0.106,0.545
,,478,N/A,N/A,N/A,0.096,0.491
,,479,N/A,N/A,N/A,0.086,0.443
,,480,N/A,N/A,N/A,0.078,0.400
,,481,N/A,N/A,N/A,0.070,0.361
,,482,N/A,N/A,N/A,0.063,0.327
,,483,N/A,N/A,N/A,0.057,0.297
,,484,N/A,N/A,N/A,0.052,0.272
,,485,N/A,N/A,N/A,0.048,0.249
,,486,N/A,N/A,N/A,0.044,0.229
,,487,N/A,N/A,N/A,0.040,0.210
,,488,N/A,N/A,N/A,0.037,0.195
,,489,N/A,N/A,N/A,0.034,0.180
,,490,N/A,N/A,N/A,0.032,0.168
,,491,N/A,N/A,N/A,0.030,0.156
,,492,N/A,N/A,N/A,0.028,0.147
,,493,N/A,N/A,N/A,0.026,0.138
,,494,N/A,N/A,N/A,0.025,0.130
,,495,N/A,N/A,N/A,0.023,0.123
,,496,N/A,N/A,N/A,0.022,0.117
,,497,N/A,N/A,N/A,0.021,0.112
,,498,N/A,N/A,N/A,0.020,0.108
,,499,N/A,N/A,N/A,0.020,0.105
,,500,N/A,N/A,N/A,0.019,0.102
,,501,N/A,N/A,N/A,0.019,0.101
,,502,N/A,N/A,N/A,0.019,0.100
,,503,N/A,N/A,N/A,0.018,0.099
,,504,N/A,N/A,N/A,0.018,0.099
,,505,N/A,N/A,N/A,0.018,0.099
,,506,N/A,N/A,N/A,0.018,0.100
,,507,N/A,N/A,N/A,0.019,0.101
,,508,N/A,N/A,N/A,0.019,0.103
,,509,N/A,N/A,N/A,0.019,0.105
,,510,N/A,N/A,N/A,0.020,0.107
,,511,N/A,N/A,N/A,0.020,0.110
,,512,N/A,N/A,N/A,0.020,0.112
,,513,N/A,N/A,N/A,0.021,0.115
,,514,N/A,N/A,N/A,0.021,0.118
,,515,N/A,N/A,N/A,0.022,0.121
,,516,N/A,N/A,N/A,0.023,0.125
,,517,N/A,N/A,N/A,0.023,0.129
,,518,N/A,N/A,N/A,0.024,0.133
,,519,N/A,N/A,N/A,0.025,0.137
,,520,N/A,N/A,N/A,0.025,0.141
,,521,N/A,N/A,N/A,0.026,0.144
,,522,N/A,N/A,N/A,0.026,0.147
,,523,N/A,N/A,N/A,0.027,0.150
,,524,N/A,N/A,N/A,0.027,0.153
,,525,N/A,N/A,N/A,0.028,0.156
,,526,N/A,N/A,N/A,0.028,0.159
,,527,N/A,N/A,N/A,0.029,0.162
,,528,N/A,N/A,N/A,0.029,0.163
,,529,N/A,N/A,N/A,0.029,0.165
,,530,N/A,N/A,N/A,0.029,0.167
,,531,N/A,N/A,N/A,0.030,0.169
,,532,N/A,N/A,N/A,0.030,0.171
,,533,N/A,N/A,N/A,0.030,0.174
,,534,N/A,N/A,N/A,0.031,0.177
,,535,N/A,N/A,N/A,0.031,0.181
,,536,N/A,N/A,N/A,0.032,0.185
