Item,Value,Parameters,Max,Avg,Min,Test 1 - raw,Test 1 - ppfd
Measurement Time,08/10/2018 16:27:38,380,N/A,N/A,N/A,0.002,0.007
Product Name*,102,381,N/A,N/A,N/A,0.002,0.007
Manufacturer,,382,N/A,N/A,N/A,0.002,0.008
Plant Name,,383,N/A,N/A,N/A,0.002,0.009
User,,384,N/A,N/A,N/A,0.002,0.009
Temperature(℃),27.54,385,N/A,N/A,N/A,0.002,0.010
Humidity(%),55.09,386,N/A,N/A,N/A,0.002,0.010
Distance to Light Source(m),,387,N/A,N/A,N/A,0.003,0.011
Lamp warm-up period(min),,388,N/A,N/A,N/A,0.003,0.011
Height of Plant(mm),,389,N/A,N/A,N/A,0.003,0.011
Note,"",390,N/A,N/A,N/A,0.003,0.011
,,391,N/A,N/A,N/A,0.003,0.011
,,392,N/A,N/A,N/A,0.003,0.012
,,393,N/A,N/A,N/A,0.003,0.012
,,394,N/A,N/A,N/A,0.003,0.013
,,395,N/A,N/A,N/A,0.003,0.013
,,396,N/A,N/A,N/A,0.003,0.014
,,397,N/A,N/A,N/A,0.003,0.014
,,398,N/A,N/A,N/A,0.003,0.014
,,399,N/A,N/A,N/A,0.003,0.015
,,400,N/A,N/A,N/A,0.004,0.016
,,401,N/A,N/A,N/A,0.004,0.016
,,402,N/A,N/A,N/A,0.004,0.016
,,403,N/A,N/A,N/A,0.004,0.017
,,404,N/A,N/A,N/A,0.004,0.018
,,405,N/A,N/A,N/A,0.004,0.018
,,406,N/A,N/A,N/A,0.004,0.019
,,407,N/A,N/A,N/A,0.005,0.020
,,408,N/A,N/A,N/A,0.005,0.021
,,409,N/A,N/A,N/A,0.005,0.022
,,410,N/A,N/A,N/A,0.005,0.023
,,411,N/A,N/A,N/A,0.006,0.025
,,412,N/A,N/A,N/A,0.006,0.027
,,413,N/A,N/A,N/A,0.007,0.029
,,414,N/A,N/A,N/A,0.007,0.032
,,415,N/A,N/A,N/A,0.008,0.036
,,416,N/A,N/A,N/A,0.009,0.040
,,417,N/A,N/A,N/A,0.010,0.045
,,418,N/A,N/A,N/A,0.011,0.051
,,419,N/A,N/A,N/A,0.013,0.058
,,420,N/A,N/A,N/A,0.015,0.067
,,421,N/A,N/A,N/A,0.017,0.076
,,422,N/A,N/A,N/A,0.019,0.088
,,423,N/A,N/A,N/A,0.022,0.102
,,424,N/A,N/A,N/A,0.026,0.119
,,425,N/A,N/A,N/A,0.030,0.138
,,426,N/A,N/A,N/A,0.035,0.161
,,427,N/A,N/A,N/A,0.041,0.188
,,428,N/A,N/A,N/A,0.048,0.221
,,429,N/A,N/A,N/A,0.056,0.260
,,430,N/A,N/A,N/A,0.065,0.304
,,431,N/A,N/A,N/A,0.076,0.354
,,432,N/A,N/A,N/A,0.088,0.412
,,433,N/A,N/A,N/A,0.102,0.478
,,434,N/A,N/A,N/A,0.118,0.553
,,435,N/A,N/A,N/A,0.135,0.637
,,436,N/A,N/A,N/A,0.155,0.732
,,437,N/A,N/A,N/A,0.177,0.839
,,438,N/A,N/A,N/A,0.202,0.957
,,439,N/A,N/A,N/A,0.229,1.090
,,440,N/A,N/A,N/A,0.260,1.235
,,441,N/A,N/A,N/A,0.293,1.396
,,442,N/A,N/A,N/A,0.328,1.570
,,443,N/A,N/A,N/A,0.366,1.755
,,444,N/A,N/A,N/A,0.406,1.950
,,445,N/A,N/A,N/A,0.448,2.154
