Item,Value,Parameters,Max,Avg,Min,Test 1 - raw,Test 1 - ppfd
Measurement Time,08/10/2018 16:27:15,380,N/A,N/A,N/A,0.000,0.001
Product Name*,101,381,N/A,N/A,N/A,0.000,0.001
Manufacturer,,382,N/A,N/A,N/A,0.000,0.001
Plant Name,,383,N/A,N/A,N/A,0.001,0.002
User,,384,N/A,N/A,N/A,0.001,0.004
Temperature(℃),27.55,385,N/A,N/A,N/A,0.001,0.006
Humidity(%),54.97,386,N/A,N/A,N/A,0.002,0.007
Distance to Light Source(m),,387,N/A,N/A,N/A,0.002,0.008
Lamp warm-up period(min),,388,N/A,N/A,N/A,0.002,0.009
Height of Plant(mm),,389,N/A,N/A,N/A,0.002,0.009
Note,"",390,N/A,N/A,N/A,0.002,0.009
,,391,N/A,N/A,N/A,0.002,0.009
,,392,N/A,N/A,N/A,0.002,0.009
,,393,N/A,N/A,N/A,0.002,0.009
,,394,N/A,N/A,N/A,0.002,0.010
,,395,N/A,N/A,N/A,0.002,0.010
,,396,N/A,N/A,N/A,0.003,0.011
,,397,N/A,N/A,N/A,0.003,0.012
,,398,N/A,N/A,N/A,0.003,0.012
,,399,N/A,N/A,N/A,0.003,0.012
,,400,N/A,N/A,N/A,0.003,0.013
,,401,N/A,N/A,N/A,0.003,0.014
,,402,N/A,N/A,N/A,0.003,0.015
,,403,N/A,N/A,N/A,0.004,0.015
,,404,N/A,N/A,N/A,0.004,0.016
,,405,N/A,N/A,N/A,0.004,0.017
,,406,N/A,N/A,N/A,0.004,0.017
,,407,N/A,N/A,N/A,0.004,0.017
,,408,N/A,N/A,N/A,0.004,0.018
,,409,N/A,N/A,N/A,0.004,0.019
,,410,N/A,N/A,N/A,0.005,0.020
,,411,N/A,N/A,N/A,0.005,0.022
,,412,N/A,N/A,N/A,0.005,0.024
,,413,N/A,N/A,N/A,0.006,0.026
,,414,N/A,N/A,N/A,0.006,0.029
,,415,N/A,N/A,N/A,0.007,0.032
,,416,N/A,N/A,N/A,0.008,0.036
,,417,N/A,N/A,N/A,0.009,0.041
,,418,N/A,N/A,N/A,0.010,0.048
,,419,N/A,N/A,N/A,0.012,0.055
,,420,N/A,N/A,N/A,0.014,0.064
,,421,N/A,N/A,N/A,0.016,0.075
,,422,N/A,N/A,N/A,0.019,0.087
,,423,N/A,N/A,N/A,0.022,0.101
,,424,N/A,N/A,N/A,0.026,0.118
,,425,N/A,N/A,N/A,0.030,0.138
,,426,N/A,N/A,N/A,0.035,0.162
,,427,N/A,N/A,N/A,0.041,0.190
,,428,N/A,N/A,N/A,0.048,0.223
,,429,N/A,N/A,N/A,0.056,0.262
,,430,N/A,N/A,N/A,0.066,0.307
,,431,N/A,N/A,N/A,0.077,0.360
,,432,N/A,N/A,N/A,0.090,0.420
,,433,N/A,N/A,N/A,0.104,0.487
,,434,N/A,N/A,N/A,0.120,0.565
,,435,N/A,N/A,N/A,0.138,0.653
,,436,N/A,N/A,N/A,0.159,0.751
,,437,N/A,N/A,N/A,0.181,0.860
