# Omega OM-92 Logger 

# Configuration :
DeviceID,7286
LoggingStart,Button Press
LoggingStartTime,07.26 11:59:00
LoggingInterval,10 mins
TemperatureLoggingEnable,true
TemperatureAlarmThresholdHigh,nan
TemperatureAlarmThresholdLow,nan
HumidityLoggingEnable,true
HumidityAlarmThresholdHigh,nan
HumidityAlarmThresholdLow,nan
Celcius/Fahrenheit,Celcius

,,# Sample Info :,,,,#Plot 
,,Data No,Date,Time,,Date/Time,Temperature,Humidity,DewPoint
,,1,2018-07-19,15:50:00,,2018-07-19 15:50:00,28.4724,35.8892,11.9126
,,2,2018-07-19,16:00:00,,2018-07-19 16:00:00,23.9571,47.1578,12.0076
,,3,2018-07-19,16:10:00,,2018-07-19 16:10:00,21.9944,52.1322,11.7266
,,4,2018-07-19,16:20:00,,2018-07-19 16:20:00,24.2252,41.9546,10.4858
,,5,2018-07-19,16:30:00,,2018-07-19 16:30:00,23.5066,49.2711,12.2619
,,6,2018-07-19,16:40:00,,2018-07-19 16:40:00,22.1767,53.0935,12.1726
,,7,2018-07-19,16:50:00,,2018-07-19 16:50:00,21.6512,55.5044,12.3604
,,8,2018-07-19,17:00:00,,2018-07-19 17:00:00,21.4045,55.7104,12.187
,,9,2018-07-19,17:10:00,,2018-07-19 17:10:00,21.3294,56.0003,12.196
,,10,2018-07-19,17:20:00,,2018-07-19 17:20:00,21.3187,55.6493,12.0904
,,11,2018-07-19,17:30:00,,2018-07-19 17:30:00,21.7906,54.5202,12.2178
,,12,2018-07-19,17:40:00,,2018-07-19 17:40:00,21.5547,54.4286,11.973
,,13,2018-07-19,17:50:00,,2018-07-19 17:50:00,21.501,55.1839,12.1325
,,14,2018-07-19,18:00:00,,2018-07-19 18:00:00,21.501,54.4897,11.9402
,,15,2018-07-19,18:10:00,,2018-07-19 18:10:00,21.501,54.3752,11.9083
,,16,2018-07-19,18:20:00,,2018-07-19 18:20:00,21.501,54.1997,11.8593
,,17,2018-07-19,18:30:00,,2018-07-19 18:30:00,21.5225,54.2531,11.8941
,,18,2018-07-19,18:40:00,,2018-07-19 18:40:00,21.5439,53.9937,11.8413
,,19,2018-07-19,18:50:00,,2018-07-19 18:50:00,21.5654,53.9098,11.8377
,,20,2018-07-19,19:00:00,,2018-07-19 19:00:00,21.5868,53.8793,11.849
,,21,2018-07-19,19:10:00,,2018-07-19 19:10:00,21.6083,53.8793,11.8689
,,22,2018-07-19,19:20:00,,2018-07-19 19:20:00,21.6512,53.6428,11.8419
,,23,2018-07-19,19:30:00,,2018-07-19 19:30:00,21.6726,53.5589,11.8381
,,24,2018-07-19,19:40:00,,2018-07-19 19:40:00,21.6941,53.5894,11.8666
,,25,2018-07-19,19:50:00,,2018-07-19 19:50:00,21.7263,54.0548,12.0277
,,26,2018-07-19,20:00:00,,2018-07-19 20:00:00,21.7584,53.9098,12.0168
,,27,2018-07-19,20:10:00,,2018-07-19 20:10:00,21.7799,53.8793,12.0281
,,28,2018-07-19,20:20:00,,2018-07-19 20:20:00,21.8014,53.5589,11.9574
,,29,2018-07-19,20:30:00,,2018-07-19 20:30:00,21.8014,53.5284,11.9487
,,30,2018-07-19,20:40:00,,2018-07-19 20:40:00,21.8228,53.4139,11.9361
,,31,2018-07-19,20:50:00,,2018-07-19 20:50:00,21.8335,53.3224,11.92
,,32,2018-07-19,21:00:00,,2018-07-19 21:00:00,21.8443,53.269,11.9148
,,33,2018-07-19,21:10:00,,2018-07-19 21:10:00,21.855,53.3529,11.9486
,,34,2018-07-19,21:20:00,,2018-07-19 21:20:00,21.8764,53.2995,11.9533
,,35,2018-07-19,21:30:00,,2018-07-19 21:30:00,21.8764,53.2384,11.9359
