# Omega OM-92 Logger 

# Configuration :
DeviceID,6786
LoggingStart,Button Press
LoggingStartTime,07.26 11:59:00
LoggingInterval,10 mins
TemperatureLoggingEnable,true
TemperatureAlarmThresholdHigh,nan
TemperatureAlarmThresholdLow,nan
HumidityLoggingEnable,true
HumidityAlarmThresholdHigh,nan
HumidityAlarmThresholdLow,nan
Celcius/Fahrenheit,Celcius

,,# Sample Info :,,,,#Plot 
,,Data No,Date,Time,,Date/Time,Temperature,Humidity,DewPoint
,,1,2018-07-19,17:40:00,,2018-07-19 17:40:00,21.2616,51.0564,10.7356
,,2,2018-07-19,17:50:00,,2018-07-19 17:50:00,21.1973,51.5523,10.8216
,,3,2018-07-19,18:00:00,,2018-07-19 18:00:00,21.1758,51.1709,10.6901
,,4,2018-07-19,18:10:00,,2018-07-19 18:10:00,21.1758,50.9954,10.6385
,,5,2018-07-19,18:20:00,,2018-07-19 18:20:00,21.1544,50.9115,10.594
,,6,2018-07-19,18:30:00,,2018-07-19 18:30:00,21.1758,50.9954,10.6385
,,7,2018-07-19,18:40:00,,2018-07-19 18:40:00,21.1973,50.8275,10.6087
,,8,2018-07-19,18:50:00,,2018-07-19 18:50:00,21.1973,50.736,10.5816
,,9,2018-07-19,19:00:00,,2018-07-19 19:00:00,21.2294,50.7131,10.6045
,,10,2018-07-19,19:10:00,,2018-07-19 19:10:00,21.2402,50.6826,10.6054
,,11,2018-07-19,19:20:00,,2018-07-19 19:20:00,21.2831,50.591,10.6177
,,12,2018-07-19,19:30:00,,2018-07-19 19:30:00,21.2938,50.5605,10.6185
,,13,2018-07-19,19:40:00,,2018-07-19 19:40:00,21.326,50.6216,10.6663
,,14,2018-07-19,19:50:00,,2018-07-19 19:50:00,21.3581,50.8504,10.7637
,,15,2018-07-19,20:00:00,,2018-07-19 20:00:00,21.3796,50.797,10.7677
,,16,2018-07-19,20:10:00,,2018-07-19 20:10:00,21.4118,50.6216,10.7453
,,17,2018-07-19,20:20:00,,2018-07-19 20:20:00,21.4225,50.4461,10.703
,,18,2018-07-19,20:30:00,,2018-07-19 20:30:00,21.4332,50.4461,10.7128
,,19,2018-07-19,20:40:00,,2018-07-19 20:40:00,21.4439,50.4156,10.7136
,,20,2018-07-19,20:50:00,,2018-07-19 20:50:00,21.4439,50.385,10.7045
,,21,2018-07-19,21:00:00,,2018-07-19 21:00:00,21.4547,50.3622,10.7076
,,22,2018-07-19,21:10:00,,2018-07-19 21:10:00,21.4761,50.385,10.7341
,,23,2018-07-19,21:20:00,,2018-07-19 21:20:00,21.4868,50.3316,10.7281
,,24,2018-07-19,21:30:00,,2018-07-19 21:30:00,21.4868,50.3011,10.7189
,,25,2018-07-19,21:40:00,,2018-07-19 21:40:00,21.5083,50.3011,10.7387
,,26,2018-07-19,21:50:00,,2018-07-19 21:50:00,21.5297,50.591,10.8449
,,27,2018-07-19,22:00:00,,2018-07-19 22:00:00,21.5512,50.4461,10.8214
,,28,2018-07-19,22:10:00,,2018-07-19 22:10:00,21.5619,50.385,10.8131
,,29,2018-07-19,22:20:00,,2018-07-19 22:20:00,21.5726,50.2325,10.7774
,,30,2018-07-19,22:30:00,,2018-07-19 22:30:00,21.5619,50.2019,10.7583
,,31,2018-07-19,22:40:00,,2018-07-19 22:40:00,21.5834,50.4461,10.8511
,,32,2018-07-19,22:50:00,,2018-07-19 22:50:00,21.5941,50.3316,10.8268
,,33,2018-07-19,23:00:00,,2018-07-19 23:00:00,21.5941,50.2706,10.8085
,,34,2018-07-19,23:10:00,,2018-07-19 23:10:00,21.5834,50.3316,10.8169
,,35,2018-07-19,23:20:00,,2018-07-19 23:20:00,21.5941,50.3011,10.8176
,,36,2018-07-19,23:30:00,,2018-07-19 23:30:00,21.6048,50.2019,10.7978
,,37,2018-07-19,23:40:00,,2018-07-19 23:40:00,21.6048,50.2019,10.7978
,,38,2018-07-19,23:50:00,,2018-07-19 23:50:00,21.6155,50.2019,10.8077
,,39,2018-07-20,00:00:00,,2018-07-20 00:00:00,21.6155,50.1256,10.7848
,,40,2018-07-20,00:10:00,,2018-07-20 00:10:00,21.5941,50.1714,10.7788
,,41,2018-07-20,00:20:00,,2018-07-20 00:20:00,21.5726,50.2706,10.7888
,,42,2018-07-20,00:30:00,,2018-07-20 00:30:00,21.5405,50.3316,10.7774
,,43,2018-07-20,00:40:00,,2018-07-20 00:40:00,21.5083,50.4461,10.782
,,44,2018-07-20,00:50:00,,2018-07-20 00:50:00,21.4761,50.4461,10.7523
,,45,2018-07-20,01:00:00,,2018-07-20 01:00:00,21.4547,50.5605,10.7667
,,46,2018-07-20,01:10:00,,2018-07-20 01:10:00,21.4225,50.4156,10.6939
,,47,2018-07-20,01:20:00,,2018-07-20 01:20:00,21.4225,50.6216,10.7552
,,48,2018-07-20,01:30:00,,2018-07-20 01:30:00,21.4118,50.6216,10.7453
,,49,2018-07-20,01:40:00,,2018-07-20 01:40:00,21.3903,50.591,10.7165
,,50,2018-07-20,01:50:00,,2018-07-20 01:50:00,21.3689,50.5376,10.6808
,,51,2018-07-20,02:00:00,,2018-07-20 02:00:00,21.3689,50.5376,10.6808
,,52,2018-07-20,02:10:00,,2018-07-20 02:10:00,21.3581,50.4461,10.6437
,,53,2018-07-20,02:20:00,,2018-07-20 02:20:00,21.3581,50.4766,10.6528
,,54,2018-07-20,02:30:00,,2018-07-20 02:30:00,21.3474,50.6216,10.686
,,55,2018-07-20,02:40:00,,2018-07-20 02:40:00,21.3367,50.5071,10.6421
,,56,2018-07-20,02:50:00,,2018-07-20 02:50:00,21.3367,50.5376,10.6512
,,57,2018-07-20,03:00:00,,2018-07-20 03:00:00,21.3367,50.8275,10.7372
,,58,2018-07-20,03:10:00,,2018-07-20 03:10:00,21.3581,50.591,10.6868
,,59,2018-07-20,03:20:00,,2018-07-20 03:20:00,21.3474,50.6216,10.686
,,60,2018-07-20,03:30:00,,2018-07-20 03:30:00,21.3474,50.6216,10.686
,,61,2018-07-20,03:40:00,,2018-07-20 03:40:00,21.3367,50.4461,10.624
,,62,2018-07-20,03:50:00,,2018-07-20 03:50:00,21.326,50.5605,10.6481
,,63,2018-07-20,04:00:00,,2018-07-20 04:00:00,21.326,50.6521,10.6753
,,64,2018-07-20,04:10:00,,2018-07-20 04:10:00,21.326,50.8504,10.7341
,,65,2018-07-20,04:20:00,,2018-07-20 04:20:00,21.326,50.736,10.7002
,,66,2018-07-20,04:30:00,,2018-07-20 04:30:00,21.326,50.5605,10.6481
,,67,2018-07-20,04:40:00,,2018-07-20 04:40:00,21.3152,50.7665,10.6994
,,68,2018-07-20,04:50:00,,2018-07-20 04:50:00,21.3152,50.6826,10.6745
,,69,2018-07-20,05:00:00,,2018-07-20 05:00:00,21.326,50.5605,10.6481
,,70,2018-07-20,05:10:00,,2018-07-20 05:10:00,21.3152,50.6216,10.6564
,,71,2018-07-20,05:20:00,,2018-07-20 05:20:00,21.3152,50.9954,10.767
,,72,2018-07-20,05:30:00,,2018-07-20 05:30:00,21.3152,50.6826,10.6745
,,73,2018-07-20,05:40:00,,2018-07-20 05:40:00,21.3045,50.6216,10.6465
,,74,2018-07-20,05:50:00,,2018-07-20 05:50:00,21.3045,50.942,10.7414
,,75,2018-07-20,06:00:00,,2018-07-20 06:00:00,21.2938,50.6826,10.6547
,,76,2018-07-20,06:10:00,,2018-07-20 06:10:00,21.2938,50.7665,10.6796
,,77,2018-07-20,06:20:00,,2018-07-20 06:20:00,21.3045,50.736,10.6805
,,78,2018-07-20,06:30:00,,2018-07-20 06:30:00,21.2831,50.736,10.6607
,,79,2018-07-20,06:40:00,,2018-07-20 06:40:00,21.2831,50.797,10.6788
,,80,2018-07-20,06:50:00,,2018-07-20 06:50:00,21.2831,50.9115,10.7126
,,81,2018-07-20,07:00:00,,2018-07-20 07:00:00,21.2938,50.8275,10.6977
,,82,2018-07-20,07:10:00,,2018-07-20 07:10:00,21.2938,50.8504,10.7044
,,83,2018-07-20,07:20:00,,2018-07-20 07:20:00,21.2938,50.736,10.6706
,,84,2018-07-20,07:30:00,,2018-07-20 07:30:00,21.2938,50.8504,10.7044
,,85,2018-07-20,07:40:00,,2018-07-20 07:40:00,21.3045,50.9115,10.7323
,,86,2018-07-20,07:50:00,,2018-07-20 07:50:00,21.3045,50.8275,10.7075
,,87,2018-07-20,08:00:00,,2018-07-20 08:00:00,21.3152,50.8275,10.7174
,,88,2018-07-20,08:10:00,,2018-07-20 08:10:00,21.326,50.736,10.7002
,,89,2018-07-20,08:20:00,,2018-07-20 08:20:00,21.326,50.6216,10.6663
,,90,2018-07-20,08:30:00,,2018-07-20 08:30:00,21.3367,50.736,10.7101
,,91,2018-07-20,08:40:00,,2018-07-20 08:40:00,21.326,50.736,10.7002
,,92,2018-07-20,08:50:00,,2018-07-20 08:50:00,21.3367,50.3927,10.6081
,,93,2018-07-20,09:00:00,,2018-07-20 09:00:00,21.3689,50.9115,10.7917
,,94,2018-07-20,09:10:00,,2018-07-20 09:10:00,21.3796,50.736,10.7496
,,95,2018-07-20,09:20:00,,2018-07-20 09:20:00,21.401,50.5376,10.7105
,,96,2018-07-20,09:30:00,,2018-07-20 09:30:00,21.3903,50.5376,10.7006
,,97,2018-07-20,09:40:00,,2018-07-20 09:40:00,21.401,50.8504,10.8033
,,98,2018-07-20,09:50:00,,2018-07-20 09:50:00,21.4868,51.0793,10.9499
,,99,2018-07-20,10:00:00,,2018-07-20 10:00:00,21.519,50.736,10.8781
,,100,2018-07-20,10:10:00,,2018-07-20 10:10:00,21.4868,50.591,10.8054
