# Omega OM-92 Logger 

# Configuration :
DeviceID,6822
LoggingStart,Button Press
LoggingStartTime,09.10 14:55:00
LoggingInterval,10 mins
TemperatureLoggingEnable,true
TemperatureAlarmThresholdHigh,nan
TemperatureAlarmThresholdLow,nan
HumidityLoggingEnable,true
HumidityAlarmThresholdHigh,nan
HumidityAlarmThresholdLow,nan
Celcius/Fahrenheit,Celcius

,,# Sample Info :,,,,#Plot 
,,Data No,Date,Time,,Date/Time,Temperature,Humidity,DewPoint
,,1,2018-08-23,12:20:00,,2018-08-23 12:20:00,26.2381,54.7338,16.4084
,,2,2018-08-23,12:30:00,,2018-08-23 12:30:00,26.0236,49.7671,14.7252
,,3,2018-08-23,12:40:00,,2018-08-23 12:40:00,26.0236,58.6172,17.2893
,,4,2018-08-23,12:50:00,,2018-08-23 12:50:00,26.0343,53.0553,15.7314
,,5,2018-08-23,13:00:00,,2018-08-23 13:00:00,26.0236,50.5987,14.9825
,,6,2018-08-23,13:10:00,,2018-08-23 13:10:00,26.0236,59.6471,17.5651
,,7,2018-08-23,13:20:00,,2018-08-23 13:20:00,26.0343,52.3763,15.5302
,,8,2018-08-23,13:30:00,,2018-08-23 13:30:00,26.0236,50.7055,15.0153
,,9,2018-08-23,13:40:00,,2018-08-23 13:40:00,26.0343,61.5545,18.0752
,,10,2018-08-23,13:50:00,,2018-08-23 13:50:00,26.0879,51.4684,15.307
,,11,2018-08-23,14:00:00,,2018-08-23 14:00:00,26.0236,50.797,15.0434
,,12,2018-08-23,14:10:00,,2018-08-23 14:10:00,26.0557,63.088,18.4878
,,13,2018-08-23,14:20:00,,2018-08-23 14:20:00,26.0986,50.4613,15.0093
,,14,2018-08-23,14:30:00,,2018-08-23 14:30:00,26.0343,50.797,15.0532
,,15,2018-08-23,14:40:00,,2018-08-23 14:40:00,26.1415,64.0264,18.8049
,,16,2018-08-23,14:50:00,,2018-08-23 14:50:00,26.1415,49.7289,14.8216
,,17,2018-08-23,15:00:00,,2018-08-23 15:00:00,26.0879,50.53,15.0206
,,18,2018-08-23,15:10:00,,2018-08-23 15:10:00,26.2273,60.8526,18.0744
,,19,2018-08-23,15:20:00,,2018-08-23 15:20:00,26.1415,49.3932,14.7165
,,20,2018-08-23,15:30:00,,2018-08-23 15:30:00,26.163,58.3501,17.3475
,,21,2018-08-23,15:40:00,,2018-08-23 15:40:00,26.3131,54.7033,16.4693
,,22,2018-08-23,15:50:00,,2018-08-23 15:50:00,26.3131,50.8199,15.3168
,,23,2018-08-23,16:00:00,,2018-08-23 16:00:00,26.3239,61.4706,18.3262
,,24,2018-08-23,16:10:00,,2018-08-23 16:10:00,26.3024,49.7518,14.9764
,,25,2018-08-23,16:20:00,,2018-08-23 16:20:00,26.2595,52.9104,15.8969
,,26,2018-08-23,16:30:00,,2018-08-23 16:30:00,26.3453,55.1992,16.6412
,,27,2018-08-23,16:40:00,,2018-08-23 16:40:00,26.3239,50.118,15.1101
,,28,2018-08-23,16:50:00,,2018-08-23 16:50:00,26.3775,62.058,18.5285
,,29,2018-08-23,17:00:00,,2018-08-23 17:00:00,26.2488,51.3158,15.4089
,,30,2018-08-23,17:10:00,,2018-08-23 17:10:00,26.0236,51.209,15.169
,,31,2018-08-23,17:20:00,,2018-08-23 17:20:00,25.9807,51.6439,15.2612
