# Omega OM-92 Logger 

# Configuration :
DeviceID,9456
LoggingStart,Button Press
LoggingStartTime,09.10 14:55:00
LoggingInterval,10 mins
TemperatureLoggingEnable,true
TemperatureAlarmThresholdHigh,nan
TemperatureAlarmThresholdLow,nan
HumidityLoggingEnable,true
HumidityAlarmThresholdHigh,nan
HumidityAlarmThresholdLow,nan
Celcius/Fahrenheit,Celcius

,,# Sample Info :,,,,#Plot 
,,Data No,Date,Time,,Date/Time,Temperature,Humidity,DewPoint
,,1,2018-08-23,12:20:00,,2018-08-23 12:20:00,29.0193,46.7077,16.4721
,,2,2018-08-23,12:30:00,,2018-08-23 12:30:00,28.7405,41.9088,14.5283
,,3,2018-08-23,12:40:00,,2018-08-23 12:40:00,28.7405,49.5382,17.1449
,,4,2018-08-23,12:50:00,,2018-08-23 12:50:00,28.9228,45.0902,15.8317
,,5,2018-08-23,13:00:00,,2018-08-23 13:00:00,28.7405,42.214,14.6407
,,6,2018-08-23,13:10:00,,2018-08-23 13:10:00,28.7298,50.9649,17.5845
,,7,2018-08-23,13:20:00,,2018-08-23 13:20:00,28.8692,45.5709,15.9491
,,8,2018-08-23,13:30:00,,2018-08-23 13:30:00,28.7405,42.748,14.8357
,,9,2018-08-23,13:40:00,,2018-08-23 13:40:00,28.7405,51.9262,17.891
,,10,2018-08-23,13:50:00,,2018-08-23 13:50:00,28.9443,44.2205,15.5468
,,11,2018-08-23,14:00:00,,2018-08-23 14:00:00,28.7405,42.9159,14.8966
,,12,2018-08-23,14:10:00,,2018-08-23 14:10:00,28.7834,53.5284,18.4146
,,13,2018-08-23,14:20:00,,2018-08-23 14:20:00,28.9014,42.2674,14.805
,,14,2018-08-23,14:30:00,,2018-08-23 14:30:00,28.7727,42.9159,14.9256
,,15,2018-08-23,14:40:00,,2018-08-23 14:40:00,28.8692,54.5659,18.8009
,,16,2018-08-23,14:50:00,,2018-08-23 14:50:00,28.9121,41.6952,14.6032
,,17,2018-08-23,15:00:00,,2018-08-23 15:00:00,28.7727,42.6488,14.8287
,,18,2018-08-23,15:10:00,,2018-08-23 15:10:00,29.0408,52.7502,18.4188
,,19,2018-08-23,15:20:00,,2018-08-23 15:20:00,28.9014,41.6265,14.568
,,20,2018-08-23,15:30:00,,2018-08-23 15:30:00,28.8263,48.8363,16.998
,,21,2018-08-23,15:40:00,,2018-08-23 15:40:00,28.955,46.0363,16.1862
,,22,2018-08-23,15:50:00,,2018-08-23 15:50:00,28.8156,42.6794,14.8784
