# Omega OM-92 Logger 

# Configuration :
DeviceID,4026
LoggingStart,Button Press
LoggingStartTime,08.23 12:16:00
LoggingInterval,1 min
TemperatureLoggingEnable,true
TemperatureAlarmThresholdHigh,nan
TemperatureAlarmThresholdLow,nan
HumidityLoggingEnable,true
HumidityAlarmThresholdHigh,nan
HumidityAlarmThresholdLow,nan
Celcius/Fahrenheit,Celcius

,,# Sample Info :,,,,#Plot 
,,Data No,Date,Time,,Date/Time,Temperature,Humidity,DewPoint
,,1,2018-08-10,17:09:00,,2018-08-10 17:09:00,28.4689,46.8145,16.007
,,2,2018-08-10,17:10:00,,2018-08-10 17:10:00,28.1579,45.8227,15.3895
,,3,2018-08-10,17:11:00,,2018-08-10 17:11:00,27.6967,46.2804,15.1253
,,4,2018-08-10,17:12:00,,2018-08-10 17:12:00,27.257,47.051,14.9818
,,5,2018-08-10,17:13:00,,2018-08-10 17:13:00,26.8923,48.2336,15.0349
,,6,2018-08-10,17:14:00,,2018-08-10 17:14:00,26.5491,48.9202,14.9406
,,7,2018-08-10,17:15:00,,2018-08-10 17:15:00,26.281,49.3322,14.8252
,,8,2018-08-10,17:16:00,,2018-08-10 17:16:00,26.0665,49.9731,14.8287
,,9,2018-08-10,17:17:00,,2018-08-10 17:17:00,25.8734,50.6216,14.8515
,,10,2018-08-10,17:18:00,,2018-08-10 17:18:00,25.7018,50.8962,14.7776
,,11,2018-08-10,17:19:00,,2018-08-10 17:19:00,25.5624,51.1632,14.7304
,,12,2018-08-10,17:20:00,,2018-08-10 17:20:00,25.4444,51.3692,14.6841
,,13,2018-08-10,17:21:00,,2018-08-10 17:21:00,25.3372,51.5447,14.6381
,,14,2018-08-10,17:22:00,,2018-08-10 17:22:00,25.2514,51.6668,14.5956
,,15,2018-08-10,17:23:00,,2018-08-10 17:23:00,25.187,51.7583,14.5637
,,16,2018-08-10,17:24:00,,2018-08-10 17:24:00,25.1227,51.9338,14.5568
,,17,2018-08-10,17:25:00,,2018-08-10 17:25:00,25.0583,52.2237,14.5836
,,18,2018-08-10,17:26:00,,2018-08-10 17:26:00,25.0261,52.3153,14.581
,,19,2018-08-10,17:27:00,,2018-08-10 17:27:00,24.9832,52.3153,14.5414
,,20,2018-08-10,17:28:00,,2018-08-10 17:28:00,24.9618,52.3458,14.5306
,,21,2018-08-10,17:29:00,,2018-08-10 17:29:00,24.9511,52.4297,14.5455
,,22,2018-08-10,17:30:00,,2018-08-10 17:30:00,24.9403,52.3458,14.5108
,,23,2018-08-10,17:31:00,,2018-08-10 17:31:00,24.9296,52.4068,14.519
,,24,2018-08-10,17:32:00,,2018-08-10 17:32:00,24.9189,52.4297,14.5158
