# Omega OM-92 Logger 

# Configuration :
DeviceID,9542
LoggingStart,Button Press
LoggingStartTime,10.12 14:55:00
LoggingInterval,10 mins
TemperatureLoggingEnable,true
TemperatureAlarmThresholdHigh,nan
TemperatureAlarmThresholdLow,nan
HumidityLoggingEnable,true
HumidityAlarmThresholdHigh,nan
HumidityAlarmThresholdLow,nan
Celcius/Fahrenheit,Celcius

,,# Sample Info :,,,,#Plot 
,,Data No,Date,Time,,Date/Time,Temperature,Humidity,DewPoint
,,1,2018-09-10,14:50:00,,2018-09-10 14:50:00,24.1501,53.5512,14.1319
,,2,2018-09-10,15:00:00,,2018-09-10 15:00:00,23.9356,54.7796,14.2833
,,3,2018-09-10,15:10:00,,2018-09-10 15:10:00,23.8927,54.6041,14.1938
,,4,2018-09-10,15:20:00,,2018-09-10 15:20:00,23.8606,54.6041,14.164
,,5,2018-09-10,15:30:00,,2018-09-10 15:30:00,23.8498,54.6346,14.1626
,,6,2018-09-10,15:40:00,,2018-09-10 15:40:00,23.8391,54.3981,14.0857
,,7,2018-09-10,15:50:00,,2018-09-10 15:50:00,23.8391,54.2837,14.0532
,,8,2018-09-10,16:00:00,,2018-09-10 16:00:00,23.8606,53.8488,13.949
,,9,2018-09-10,16:10:00,,2018-09-10 16:10:00,23.8927,53.9632,14.0116
,,10,2018-09-10,16:20:00,,2018-09-10 16:20:00,23.8606,54.2531,14.0644
,,11,2018-09-10,16:30:00,,2018-09-10 16:30:00,23.882,54.1387,14.0517
,,12,2018-09-10,16:40:00,,2018-09-10 16:40:00,23.882,54.2531,14.0843
,,13,2018-09-10,16:50:00,,2018-09-10 16:50:00,23.882,53.9632,14.0017
,,14,2018-09-10,17:00:00,,2018-09-10 17:00:00,23.9035,54.2226,14.0955
,,15,2018-09-10,17:10:00,,2018-09-10 17:10:00,23.8927,54.5202,14.1701
,,16,2018-09-10,17:20:00,,2018-09-10 17:20:00,23.9142,54.2531,14.1142
,,17,2018-09-10,17:30:00,,2018-09-10 17:30:00,23.9142,54.6346,14.2224
,,18,2018-09-10,17:40:00,,2018-09-10 17:40:00,23.9249,54.3065,14.1393
,,19,2018-09-10,17:50:00,,2018-09-10 17:50:00,23.9464,54.4591,14.2026
,,20,2018-09-10,18:00:00,,2018-09-10 18:00:00,23.9142,54.3676,14.1467
,,21,2018-09-10,18:10:00,,2018-09-10 18:10:00,23.9035,54.1082,14.0629
,,22,2018-09-10,18:20:00,,2018-09-10 18:20:00,23.9356,54.0471,14.0754
,,23,2018-09-10,18:30:00,,2018-09-10 18:30:00,23.9356,54.2837,14.1428
,,24,2018-09-10,18:40:00,,2018-09-10 18:40:00,23.9464,54.1921,14.1267
,,25,2018-09-10,18:50:00,,2018-09-10 18:50:00,23.9356,54.6346,14.2423
,,26,2018-09-10,19:00:00,,2018-09-10 19:00:00,23.9356,54.6346,14.2423
,,27,2018-09-10,19:10:00,,2018-09-10 19:10:00,23.9678,54.5736,14.2549
,,28,2018-09-10,19:20:00,,2018-09-10 19:20:00,23.9571,54.6346,14.2622
,,29,2018-09-10,19:30:00,,2018-09-10 19:30:00,24,54.4286,14.2437
,,30,2018-09-10,19:40:00,,2018-09-10 19:40:00,23.9785,54.2837,14.1826
,,31,2018-09-10,19:50:00,,2018-09-10 19:50:00,23.9678,54.2531,14.1639
,,32,2018-09-10,20:00:00,,2018-09-10 20:00:00,23.9678,54.4286,14.2138
,,33,2018-09-10,20:10:00,,2018-09-10 20:10:00,23.9464,54.5431,14.2264
,,34,2018-09-10,20:20:00,,2018-09-10 20:20:00,23.9785,54.4286,14.2238
,,35,2018-09-10,20:30:00,,2018-09-10 20:30:00,23.9464,54.4591,14.2026
,,36,2018-09-10,20:40:00,,2018-09-10 20:40:00,23.9464,54.3981,14.1852
,,37,2018-09-10,20:50:00,,2018-09-10 20:50:00,23.9356,54.3981,14.1753
,,38,2018-09-10,21:00:00,,2018-09-10 21:00:00,23.9356,54.2837,14.1428
,,39,2018-09-10,21:10:00,,2018-09-10 21:10:00,23.9464,54.3676,14.1766
,,40,2018-09-10,21:20:00,,2018-09-10 21:20:00,23.9356,54.2531,14.1341
,,41,2018-09-10,21:30:00,,2018-09-10 21:30:00,23.9571,54.5736,14.245
,,42,2018-09-10,21:40:00,,2018-09-10 21:40:00,23.9571,54.1921,14.1366
,,43,2018-09-10,21:50:00,,2018-09-10 21:50:00,23.9464,54.2226,14.1354
,,44,2018-09-10,22:00:00,,2018-09-10 22:00:00,23.8713,53.9937,14.0004
,,45,2018-09-10,22:10:00,,2018-09-10 22:10:00,23.453,54.2226,13.6776
,,46,2018-09-10,22:20:00,,2018-09-10 22:20:00,23.0669,55.1305,13.5743
,,47,2018-09-10,22:30:00,,2018-09-10 22:30:00,22.7559,56.0079,13.5274
,,48,2018-09-10,22:40:00,,2018-09-10 22:40:00,22.5521,56.7632,13.5433
,,49,2018-09-10,22:50:00,,2018-09-10 22:50:00,22.3698,56.8548,13.3978
,,50,2018-09-10,23:00:00,,2018-09-10 23:00:00,22.1982,56.4123,13.1179
,,51,2018-09-10,23:10:00,,2018-09-10 23:10:00,21.9515,56.4428,12.8961
,,52,2018-09-10,23:20:00,,2018-09-10 23:20:00,21.8014,56.1529,12.6774
,,53,2018-09-10,23:30:00,,2018-09-10 23:30:00,21.6619,56.6488,12.6815
,,54,2018-09-10,23:40:00,,2018-09-10 23:40:00,21.5547,56.7327,12.604
,,55,2018-09-10,23:50:00,,2018-09-10 23:50:00,21.4581,56.9082,12.561
,,56,2018-09-11,00:00:00,,2018-09-11 00:00:00,21.426,56.5877,12.4449
,,57,2018-09-11,00:10:00,,2018-09-11 00:10:00,21.3938,57.8924,12.7626
,,58,2018-09-11,00:20:00,,2018-09-11 00:20:00,21.2973,57.2515,12.5024
,,59,2018-09-11,00:30:00,,2018-09-11 00:30:00,21.2758,57.0836,12.4376
,,60,2018-09-11,00:40:00,,2018-09-11 00:40:00,21.19,57.488,12.465
,,61,2018-09-11,00:50:00,,2018-09-11 00:50:00,21.1686,57.343,12.4065
,,62,2018-09-11,01:00:00,,2018-09-11 01:00:00,21.1364,57.9229,12.5297
,,63,2018-09-11,01:10:00,,2018-09-11 01:10:00,21.1149,57.6635,12.4412
,,64,2018-09-11,01:20:00,,2018-09-11 01:20:00,21.0828,57.633,12.4031
,,65,2018-09-11,01:30:00,,2018-09-11 01:30:00,21.0399,57.8008,12.4072
,,66,2018-09-11,01:40:00,,2018-09-11 01:40:00,21.0291,57.7779,12.3912
,,67,2018-09-11,01:50:00,,2018-09-11 01:50:00,20.9862,57.9229,12.3892
,,68,2018-09-11,02:00:00,,2018-09-11 02:00:00,20.9862,57.7169,12.3349
,,69,2018-09-11,02:10:00,,2018-09-11 02:10:00,20.9541,57.9153,12.3571
,,70,2018-09-11,02:20:00,,2018-09-11 02:20:00,20.9004,57.9153,12.3069
,,71,2018-09-11,02:30:00,,2018-09-11 02:30:00,20.9219,57.8008,12.2969
,,72,2018-09-11,02:40:00,,2018-09-11 02:40:00,20.8897,57.9153,12.2968
,,73,2018-09-11,02:50:00,,2018-09-11 02:50:00,20.8897,57.9763,12.3129
,,74,2018-09-11,03:00:00,,2018-09-11 03:00:00,20.8361,58.7011,12.4519
,,75,2018-09-11,03:10:00,,2018-09-11 03:10:00,20.8575,58.0297,12.2968
,,76,2018-09-11,03:20:00,,2018-09-11 03:20:00,20.8575,57.9458,12.2748
,,77,2018-09-11,03:30:00,,2018-09-11 03:30:00,20.8254,58.0297,12.2667
,,78,2018-09-11,03:40:00,,2018-09-11 03:40:00,20.8254,57.9458,12.2446
,,79,2018-09-11,03:50:00,,2018-09-11 03:50:00,20.8039,57.9763,12.2326
,,80,2018-09-11,04:00:00,,2018-09-11 04:00:00,20.7932,58.1747,12.2745
,,81,2018-09-11,04:10:00,,2018-09-11 04:10:00,20.7396,58.2891,12.2542
,,82,2018-09-11,04:20:00,,2018-09-11 04:20:00,20.7396,58.2891,12.2542
,,83,2018-09-11,04:30:00,,2018-09-11 04:30:00,20.7288,58.1747,12.2142
,,84,2018-09-11,04:40:00,,2018-09-11 04:40:00,20.7181,58.2891,12.2341
,,85,2018-09-11,04:50:00,,2018-09-11 04:50:00,20.7074,58.579,12.2995
,,86,2018-09-11,05:00:00,,2018-09-11 05:00:00,20.7288,58.1212,12.2003
,,87,2018-09-11,05:10:00,,2018-09-11 05:10:00,20.6859,58.3806,12.2278
,,88,2018-09-11,05:20:00,,2018-09-11 05:20:00,20.6752,58.3806,12.2178
,,89,2018-09-11,05:30:00,,2018-09-11 05:30:00,20.6538,59.1054,12.3855
,,90,2018-09-11,05:40:00,,2018-09-11 05:40:00,20.6538,58.8155,12.3106
,,91,2018-09-11,05:50:00,,2018-09-11 05:50:00,20.6323,58.785,12.2826
,,92,2018-09-11,06:00:00,,2018-09-11 06:00:00,20.6967,58.7545,12.335
,,93,2018-09-11,06:10:00,,2018-09-11 06:10:00,21.0291,59.0215,12.7159
,,94,2018-09-11,06:20:00,,2018-09-11 06:20:00,21.3402,58.8155,12.9542
,,95,2018-09-11,06:30:00,,2018-09-11 06:30:00,21.6834,58.0678,13.0799
,,96,2018-09-11,06:40:00,,2018-09-11 06:40:00,21.973,57.7474,13.266
,,97,2018-09-11,06:50:00,,2018-09-11 06:50:00,22.1982,57.4041,13.3851
,,98,2018-09-11,07:00:00,,2018-09-11 07:00:00,22.477,56.8853,13.5062
,,99,2018-09-11,07:10:00,,2018-09-11 07:10:00,22.6486,56.7632,13.6333
,,100,2018-09-11,07:20:00,,2018-09-11 07:20:00,22.8417,56.6793,13.7907
,,101,2018-09-11,07:30:00,,2018-09-11 07:30:00,22.9489,56.4733,13.8347
,,102,2018-09-11,07:40:00,,2018-09-11 07:40:00,23.0991,56.2444,13.9121
,,103,2018-09-11,07:50:00,,2018-09-11 07:50:00,23.1527,56.2444,13.9621
,,104,2018-09-11,08:00:00,,2018-09-11 08:00:00,23.2385,55.4815,13.8315
,,105,2018-09-11,08:10:00,,2018-09-11 08:10:00,23.3243,55.8858,14.0234
,,106,2018-09-11,08:20:00,,2018-09-11 08:20:00,23.3458,55.9469,14.0602
,,107,2018-09-11,08:30:00,,2018-09-11 08:30:00,23.3672,55.8324,14.0486
,,108,2018-09-11,08:40:00,,2018-09-11 08:40:00,23.3994,55.9469,14.1101
,,109,2018-09-11,08:50:00,,2018-09-11 08:50:00,23.4316,56.0613,14.1717
,,110,2018-09-11,09:00:00,,2018-09-11 09:00:00,23.3994,55.9164,14.1017
,,111,2018-09-11,09:10:00,,2018-09-11 09:10:00,23.0991,55.7409,13.7736
,,112,2018-09-11,09:20:00,,2018-09-11 09:20:00,22.9704,56.2139,13.7838
,,113,2018-09-11,09:30:00,,2018-09-11 09:30:00,23.0669,56.0689,13.834
,,114,2018-09-11,09:40:00,,2018-09-11 09:40:00,23.0991,56.5572,13.9976
,,115,2018-09-11,09:50:00,,2018-09-11 09:50:00,23.1742,56.4428,14.0364
,,116,2018-09-11,10:00:00,,2018-09-11 10:00:00,23.2921,55.8553,13.985
,,117,2018-09-11,10:10:00,,2018-09-11 10:10:00,23.3672,56.3283,14.1851
,,118,2018-09-11,10:20:00,,2018-09-11 10:20:00,23.4208,56.8471,14.3768
,,119,2018-09-11,10:30:00,,2018-09-11 10:30:00,23.3994,56.5038,14.2631
,,120,2018-09-11,10:40:00,,2018-09-11 10:40:00,23.3887,56.4733,14.2448
,,121,2018-09-11,10:50:00,,2018-09-11 10:50:00,23.3994,56.3589,14.2234
,,122,2018-09-11,11:00:00,,2018-09-11 11:00:00,23.4208,55.9774,14.1385
,,123,2018-09-11,11:10:00,,2018-09-11 11:10:00,23.4637,55.8629,14.1469
,,124,2018-09-11,11:20:00,,2018-09-11 11:20:00,23.4316,56.1223,14.1885
,,125,2018-09-11,11:30:00,,2018-09-11 11:30:00,23.5495,55.7714,14.2015
,,126,2018-09-11,11:40:00,,2018-09-11 11:40:00,23.571,55.6875,14.1982
,,127,2018-09-11,11:50:00,,2018-09-11 11:50:00,23.6032,55.5959,14.2027
,,128,2018-09-11,12:00:00,,2018-09-11 12:00:00,23.6568,55.451,14.2123
,,129,2018-09-11,12:10:00,,2018-09-11 12:10:00,23.6675,55.161,14.1413
,,130,2018-09-11,12:20:00,,2018-09-11 12:20:00,23.7426,67.925,17.4675
