# Omega OM-92 Logger 

# Configuration :
DeviceID,7675
LoggingStart,Button Press
LoggingStartTime,10.12 14:55:00
LoggingInterval,10 mins
TemperatureLoggingEnable,true
TemperatureAlarmThresholdHigh,nan
TemperatureAlarmThresholdLow,nan
HumidityLoggingEnable,true
HumidityAlarmThresholdHigh,nan
HumidityAlarmThresholdLow,nan
Celcius/Fahrenheit,Celcius

,,# Sample Info :,,,,#Plot 
,,Data No,Date,Time,,Date/Time,Temperature,Humidity,DewPoint
,,1,2018-09-10,14:50:00,,2018-09-10 14:50:00,23.9643,56.5496,14.8025
,,2,2018-09-10,15:00:00,,2018-09-10 15:00:00,24.2968,55.6493,14.8632
,,3,2018-09-10,15:10:00,,2018-09-10 15:10:00,24.3504,55.9698,15.0023
,,4,2018-09-10,15:20:00,,2018-09-10 15:20:00,24.3719,55.5578,14.9074
,,5,2018-09-10,15:30:00,,2018-09-10 15:30:00,24.3719,55.4738,14.884
,,6,2018-09-10,15:40:00,,2018-09-10 15:40:00,24.3719,55.4128,14.8669
,,7,2018-09-10,15:50:00,,2018-09-10 15:50:00,24.3719,55.2373,14.8176
,,8,2018-09-10,16:00:00,,2018-09-10 16:00:00,24.3719,55.0008,14.751
,,9,2018-09-10,16:10:00,,2018-09-10 16:10:00,24.3719,55.0619,14.7683
,,10,2018-09-10,16:20:00,,2018-09-10 16:20:00,24.4148,55.2068,14.8489
,,11,2018-09-10,16:30:00,,2018-09-10 16:30:00,24.4255,55.0924,14.8267
,,12,2018-09-10,16:40:00,,2018-09-10 16:40:00,24.4148,55.1229,14.8253
,,13,2018-09-10,16:50:00,,2018-09-10 16:50:00,24.4148,55.0924,14.8167
,,14,2018-09-10,17:00:00,,2018-09-10 17:00:00,24.4255,55.0924,14.8267
,,15,2018-09-10,17:10:00,,2018-09-10 17:10:00,24.4363,55.2679,14.886
,,16,2018-09-10,17:20:00,,2018-09-10 17:20:00,24.4684,55.1153,14.873
,,17,2018-09-10,17:30:00,,2018-09-10 17:30:00,24.4577,55.0924,14.8566
,,18,2018-09-10,17:40:00,,2018-09-10 17:40:00,24.4684,55.3213,14.931
,,19,2018-09-10,17:50:00,,2018-09-10 17:50:00,24.4899,55.1458,14.9016
,,20,2018-09-10,18:00:00,,2018-09-10 18:00:00,24.5113,55.1153,14.9129
,,21,2018-09-10,18:10:00,,2018-09-10 18:10:00,24.5006,55.0008,14.8707
,,22,2018-09-10,18:20:00,,2018-09-10 18:20:00,24.5006,54.9169,14.8469
,,23,2018-09-10,18:30:00,,2018-09-10 18:30:00,24.4899,55.0619,14.8779
,,24,2018-09-10,18:40:00,,2018-09-10 18:40:00,24.5221,55.0924,14.9164
,,25,2018-09-10,18:50:00,,2018-09-10 18:50:00,24.5435,54.9703,14.9019
,,26,2018-09-10,19:00:00,,2018-09-10 19:00:00,24.5113,55.3213,14.9709
,,27,2018-09-10,19:10:00,,2018-09-10 19:10:00,24.5221,55.1763,14.9401
,,28,2018-09-10,19:20:00,,2018-09-10 19:20:00,24.5435,55.1763,14.96
,,29,2018-09-10,19:30:00,,2018-09-10 19:30:00,24.5542,55.0619,14.9377
,,30,2018-09-10,19:40:00,,2018-09-10 19:40:00,24.5328,55.2373,14.9672
,,31,2018-09-10,19:50:00,,2018-09-10 19:50:00,24.5221,55.1763,14.9401
,,32,2018-09-10,20:00:00,,2018-09-10 20:00:00,24.5435,55.2907,14.9922
,,33,2018-09-10,20:10:00,,2018-09-10 20:10:00,24.5542,55.3213,15.0108
,,34,2018-09-10,20:20:00,,2018-09-10 20:20:00,24.5757,55.1458,14.9813
,,35,2018-09-10,20:30:00,,2018-09-10 20:30:00,24.5971,55.0619,14.9776
,,36,2018-09-10,20:40:00,,2018-09-10 20:40:00,24.565,55.1458,14.9714
,,37,2018-09-10,20:50:00,,2018-09-10 20:50:00,24.5542,55.1458,14.9614
,,38,2018-09-10,21:00:00,,2018-09-10 21:00:00,24.565,55.0313,14.9391
,,39,2018-09-10,21:10:00,,2018-09-10 21:10:00,24.5757,54.9703,14.9318
,,40,2018-09-10,21:20:00,,2018-09-10 21:20:00,24.5435,54.9169,14.8868
,,41,2018-09-10,21:30:00,,2018-09-10 21:30:00,24.5542,54.9169,14.8968
,,42,2018-09-10,21:40:00,,2018-09-10 21:40:00,24.5542,54.9703,14.9119
,,43,2018-09-10,21:50:00,,2018-09-10 21:50:00,24.5221,54.9169,14.8669
,,44,2018-09-10,22:00:00,,2018-09-10 22:00:00,24.5006,54.8253,14.821
,,45,2018-09-10,22:10:00,,2018-09-10 22:10:00,24.1252,54.7109,14.44
,,46,2018-09-10,22:20:00,,2018-09-10 22:20:00,23.6855,55.4128,14.2283
,,47,2018-09-10,22:30:00,,2018-09-10 22:30:00,23.3637,56.2597,14.163
,,48,2018-09-10,22:40:00,,2018-09-10 22:40:00,23.1385,56.9845,14.1506
,,49,2018-09-10,22:50:00,,2018-09-10 22:50:00,22.9133,57.1294,13.9795
,,50,2018-09-10,23:00:00,,2018-09-10 23:00:00,22.6988,56.8395,13.7008
,,51,2018-09-10,23:10:00,,2018-09-10 23:10:00,22.5165,56.664,13.4831
,,52,2018-09-10,23:20:00,,2018-09-10 23:20:00,22.3341,56.809,13.3522
,,53,2018-09-10,23:30:00,,2018-09-10 23:30:00,22.2162,57.015,13.2976
,,54,2018-09-10,23:40:00,,2018-09-10 23:40:00,22.0875,57.1599,13.2163
,,55,2018-09-10,23:50:00,,2018-09-10 23:50:00,21.9909,57.2744,13.1568
,,56,2018-09-11,00:00:00,,2018-09-11 00:00:00,21.9159,57.2439,13.0784
,,57,2018-09-11,00:10:00,,2018-09-11 00:10:00,21.8944,57.9992,13.2593
,,58,2018-09-11,00:20:00,,2018-09-11 00:20:00,21.8301,57.6177,13.0979
,,59,2018-09-11,00:30:00,,2018-09-11 00:30:00,21.7872,57.5338,13.0355
,,60,2018-09-11,00:40:00,,2018-09-11 00:40:00,21.7121,57.6787,13.0038
,,61,2018-09-11,00:50:00,,2018-09-11 00:50:00,21.6799,57.7703,12.998
,,62,2018-09-11,01:00:00,,2018-09-11 01:00:00,21.6584,58.2891,13.1148
,,63,2018-09-11,01:10:00,,2018-09-11 01:10:00,21.6263,57.9381,12.9922
,,64,2018-09-11,01:20:00,,2018-09-11 01:20:00,21.5834,58.0526,12.9823
,,65,2018-09-11,01:30:00,,2018-09-11 01:30:00,21.5619,57.8771,12.9159
,,66,2018-09-11,01:40:00,,2018-09-11 01:40:00,21.519,58.0221,12.914
,,67,2018-09-11,01:50:00,,2018-09-11 01:50:00,21.5083,58.0526,12.912
,,68,2018-09-11,02:00:00,,2018-09-11 02:00:00,21.4976,58.1136,12.918
,,69,2018-09-11,02:10:00,,2018-09-11 02:10:00,21.4868,58.167,12.922
,,70,2018-09-11,02:20:00,,2018-09-11 02:20:00,21.4654,58.1365,12.8939
