# Omega OM-92 Logger 

# Configuration :
DeviceID,9554
LoggingStart,Button Press
LoggingStartTime,10.12 14:55:00
LoggingInterval,10 mins
TemperatureLoggingEnable,true
TemperatureAlarmThresholdHigh,nan
TemperatureAlarmThresholdLow,nan
HumidityLoggingEnable,true
HumidityAlarmThresholdHigh,nan
HumidityAlarmThresholdLow,nan
Celcius/Fahrenheit,Celcius

,,# Sample Info :,,,,#Plot 
,,Data No,Date,Time,,Date/Time,Temperature,Humidity,DewPoint
,,1,2018-09-11,14:10:00,,2018-09-11 14:10:00,24.6006,63.4847,17.2122
,,2,2018-09-11,14:20:00,,2018-09-11 14:20:00,24.7722,58.7163,16.1442
,,3,2018-09-11,14:30:00,,2018-09-11 14:30:00,24.9116,67.8258,18.5587
,,4,2018-09-11,14:40:00,,2018-09-11 14:40:00,25.1583,67.391,18.691
,,5,2018-09-11,14:50:00,,2018-09-11 14:50:00,25.2548,59.7158,16.8621
,,6,2018-09-11,15:00:00,,2018-09-11 15:00:00,25.4157,58.5103,16.6915
,,7,2018-09-11,15:10:00,,2018-09-11 15:10:00,25.3085,57.694,16.3701
,,8,2018-09-11,15:20:00,,2018-09-11 15:20:00,25.0296,57.7169,16.1158
,,9,2018-09-11,15:30:00,,2018-09-11 15:30:00,24.9116,59.4182,16.4614
,,10,2018-09-11,15:40:00,,2018-09-11 15:40:00,24.9438,59.8607,16.6083
,,11,2018-09-11,15:50:00,,2018-09-11 15:50:00,24.8044,58.6248,16.1498
,,12,2018-09-11,16:00:00,,2018-09-11 16:00:00,24.7615,58.4188,16.0545
,,13,2018-09-11,16:10:00,,2018-09-11 16:10:00,24.5577,57.839,15.7077
,,14,2018-09-11,16:20:00,,2018-09-11 16:20:00,24.3539,58.0678,15.5788
,,15,2018-09-11,16:30:00,,2018-09-11 16:30:00,24.3217,57.8008,15.4768
,,16,2018-09-11,16:40:00,,2018-09-11 16:40:00,24.2788,57.6559,15.3976
,,17,2018-09-11,16:50:00,,2018-09-11 16:50:00,24.2681,57.3965,15.3172
,,18,2018-09-11,17:00:00,,2018-09-11 17:00:00,24.2145,57.1599,15.2028
,,19,2018-09-11,17:10:00,,2018-09-11 17:10:00,24.1716,56.9845,15.1149
,,20,2018-09-11,17:20:00,,2018-09-11 17:20:00,24.1823,56.809,15.077
,,21,2018-09-11,17:30:00,,2018-09-11 17:30:00,24.2145,56.7251,15.084
,,22,2018-09-11,17:40:00,,2018-09-11 17:40:00,24.2359,56.458,15.0306
,,23,2018-09-11,17:50:00,,2018-09-11 17:50:00,24.2359,56.3741,15.0075
,,24,2018-09-11,18:00:00,,2018-09-11 18:00:00,24.2574,56.3741,15.0275
,,25,2018-09-11,18:10:00,,2018-09-11 18:10:00,24.2896,56.2215,15.0153
,,26,2018-09-11,18:20:00,,2018-09-11 18:20:00,24.2896,56.2215,15.0153
,,27,2018-09-11,18:30:00,,2018-09-11 18:30:00,24.311,56.0766,14.9952
,,28,2018-09-11,18:40:00,,2018-09-11 18:40:00,24.311,55.9926,14.9719
,,29,2018-09-11,18:50:00,,2018-09-11 18:50:00,24.3217,55.8706,14.948
,,30,2018-09-11,19:00:00,,2018-09-11 19:00:00,24.3217,55.9621,14.9734
,,31,2018-09-11,19:10:00,,2018-09-11 19:10:00,24.311,55.9926,14.9719
,,32,2018-09-11,19:20:00,,2018-09-11 19:20:00,24.3217,55.9316,14.965
,,33,2018-09-11,19:30:00,,2018-09-11 19:30:00,24.3003,56.0461,14.9767
,,34,2018-09-11,19:40:00,,2018-09-11 19:40:00,24.2896,56.0766,14.9752
,,35,2018-09-11,19:50:00,,2018-09-11 19:50:00,24.2788,56.1986,14.999
,,36,2018-09-11,20:00:00,,2018-09-11 20:00:00,24.2681,56.1986,14.989
,,37,2018-09-11,20:10:00,,2018-09-11 20:10:00,24.2574,56.252,14.9938
,,38,2018-09-11,20:20:00,,2018-09-11 20:20:00,24.2574,56.4886,15.059
,,39,2018-09-11,20:30:00,,2018-09-11 20:30:00,24.2467,56.458,15.0406
,,40,2018-09-11,20:40:00,,2018-09-11 20:40:00,24.2574,56.3436,15.0191
,,41,2018-09-11,20:50:00,,2018-09-11 20:50:00,24.2681,56.397,15.0438
,,42,2018-09-11,21:00:00,,2018-09-11 21:00:00,24.2467,56.3741,15.0175
,,43,2018-09-11,21:10:00,,2018-09-11 21:10:00,24.2467,56.2826,14.9922
,,44,2018-09-11,21:20:00,,2018-09-11 21:20:00,24.2252,56.397,15.0038
,,45,2018-09-11,21:30:00,,2018-09-11 21:30:00,24.2467,56.2826,14.9922
,,46,2018-09-11,21:40:00,,2018-09-11 21:40:00,24.2359,56.3741,15.0075
,,47,2018-09-11,21:50:00,,2018-09-11 21:50:00,24.2359,56.3741,15.0075
,,48,2018-09-11,22:00:00,,2018-09-11 22:00:00,24.2145,56.1986,14.9391
,,49,2018-09-11,22:10:00,,2018-09-11 22:10:00,23.6997,56.1986,14.4593
,,50,2018-09-11,22:20:00,,2018-09-11 22:20:00,23.0455,57.3583,14.1646
,,51,2018-09-11,22:30:00,,2018-09-11 22:30:00,22.4985,58.2357,13.8873
,,52,2018-09-11,22:40:00,,2018-09-11 22:40:00,22.048,59.5937,13.8201
,,53,2018-09-11,22:50:00,,2018-09-11 22:50:00,21.7263,60.1736,13.6669
,,54,2018-09-11,23:00:00,,2018-09-11 23:00:00,21.4903,60.9518,13.6425
,,55,2018-09-11,23:10:00,,2018-09-11 23:10:00,21.2758,60.6237,13.3577
,,56,2018-09-11,23:20:00,,2018-09-11 23:20:00,21.072,60.9136,13.2391
,,57,2018-09-11,23:30:00,,2018-09-11 23:30:00,20.9004,61.2035,13.1502
,,58,2018-09-11,23:40:00,,2018-09-11 23:40:00,20.7717,61.3714,13.0709
,,59,2018-09-11,23:50:00,,2018-09-11 23:50:00,20.6752,61.7147,13.0653
,,60,2018-09-12,00:00:00,,2018-09-12 00:00:00,20.6216,62.0351,13.0941
,,61,2018-09-12,00:10:00,,2018-09-12 00:10:00,20.5465,61.7452,12.9515
,,62,2018-09-12,00:20:00,,2018-09-12 00:20:00,20.4822,61.9436,12.9399
,,63,2018-09-12,00:30:00,,2018-09-12 00:30:00,20.4178,62.0885,12.9149
,,64,2018-09-12,00:40:00,,2018-09-12 00:40:00,20.3749,62.1801,12.8969
