# Omega OM-92 Logger 

# Configuration :
DeviceID,6810
LoggingStart,Button Press
LoggingStartTime,10.12 14:55:00
LoggingInterval,10 mins
TemperatureLoggingEnable,true
TemperatureAlarmThresholdHigh,nan
TemperatureAlarmThresholdLow,nan
HumidityLoggingEnable,true
HumidityAlarmThresholdHigh,nan
HumidityAlarmThresholdLow,nan
Celcius/Fahrenheit,Celcius

,,# Sample Info :,,,,#Plot 
,,Data No,Date,Time,,Date/Time,Temperature,Humidity,DewPoint
,,1,2018-09-11,14:10:00,,2018-09-11 14:10:00,24.5899,66.7882,18.0066
,,2,2018-09-11,14:20:00,,2018-09-11 14:20:00,24.9545,59.5937,16.548
,,3,2018-09-11,14:30:00,,2018-09-11 14:30:00,25.1798,68.4133,18.9524
,,4,2018-09-11,14:40:00,,2018-09-11 14:40:00,25.4264,66.5212,18.7383
,,5,2018-09-11,14:50:00,,2018-09-11 14:50:00,25.3406,59.2733,16.8253
,,6,2018-09-11,15:00:00,,2018-09-11 15:00:00,25.2334,58.5714,16.5372
,,7,2018-09-11,15:10:00,,2018-09-11 15:10:00,25.169,58.0678,16.3413
,,8,2018-09-11,15:20:00,,2018-09-11 15:20:00,25.0296,57.8695,16.1572
,,9,2018-09-11,15:30:00,,2018-09-11 15:30:00,24.9545,58.0984,16.1489
,,10,2018-09-11,15:40:00,,2018-09-11 15:40:00,24.9545,59.2122,16.4471
,,11,2018-09-11,15:50:00,,2018-09-11 15:50:00,24.9331,58.6553,16.2785
,,12,2018-09-11,16:00:00,,2018-09-11 16:00:00,24.8258,58.7697,16.2086
,,13,2018-09-11,16:10:00,,2018-09-11 16:10:00,24.7186,58.0984,15.9282
,,14,2018-09-11,16:20:00,,2018-09-11 16:20:00,24.5899,58.2738,15.855
,,15,2018-09-11,16:30:00,,2018-09-11 16:30:00,24.547,57.8618,15.7039
,,16,2018-09-11,16:40:00,,2018-09-11 16:40:00,24.5684,58.0373,15.7713
,,17,2018-09-11,16:50:00,,2018-09-11 16:50:00,24.6006,57.6024,15.6838
,,18,2018-09-11,17:00:00,,2018-09-11 17:00:00,24.6006,57.3965,15.6278
,,19,2018-09-11,17:10:00,,2018-09-11 17:10:00,24.5792,57.3965,15.6078
,,20,2018-09-11,17:20:00,,2018-09-11 17:20:00,24.5899,56.9845,15.5053
,,21,2018-09-11,17:30:00,,2018-09-11 17:30:00,24.6221,57.0455,15.5521
,,22,2018-09-11,17:40:00,,2018-09-11 17:40:00,24.6221,56.8395,15.4956
,,23,2018-09-11,17:50:00,,2018-09-11 17:50:00,24.6328,56.6869,15.4637
,,24,2018-09-11,18:00:00,,2018-09-11 18:00:00,24.665,56.5191,15.4474
,,25,2018-09-11,18:10:00,,2018-09-11 18:10:00,24.665,56.397,15.4137
