# Omega OM-92 Logger 

# Configuration :
DeviceID,6806
LoggingStart,Button Press
LoggingStartTime,07.23 16:07:00
LoggingInterval,10 mins
TemperatureLoggingEnable,true
TemperatureAlarmThresholdHigh,nan
TemperatureAlarmThresholdLow,nan
HumidityLoggingEnable,true
HumidityAlarmThresholdHigh,nan
HumidityAlarmThresholdLow,nan
Celcius/Fahrenheit,Celcius

,,# Sample Info :,,,,#Plot 
,,Data No,Date,Time,,Date/Time,Temperature,Humidity,DewPoint
,,1,2018-07-19,17:40:00,,2018-07-19 17:40:00,21.6335,52.6205,11.5341
,,2,2018-07-19,17:50:00,,2018-07-19 17:50:00,21.2581,53.5512,11.4516
,,3,2018-07-19,18:00:00,,2018-07-19 18:00:00,21.1616,53.4063,11.3212
,,4,2018-07-19,18:10:00,,2018-07-19 18:10:00,21.1509,53.4063,11.3112
,,5,2018-07-19,18:20:00,,2018-07-19 18:20:00,21.1187,53.3834,11.2749
,,6,2018-07-19,18:30:00,,2018-07-19 18:30:00,21.1294,53.4368,11.3
,,7,2018-07-19,18:40:00,,2018-07-19 18:40:00,21.1402,53.3224,11.2776
,,8,2018-07-19,18:50:00,,2018-07-19 18:50:00,21.1509,53.1774,11.2464
,,9,2018-07-19,19:00:00,,2018-07-19 19:00:00,21.1723,53.1469,11.2576
,,10,2018-07-19,19:10:00,,2018-07-19 19:10:00,21.1831,53.2308,11.2914
,,11,2018-07-19,19:20:00,,2018-07-19 19:20:00,21.2152,53.1164,11.2887
,,12,2018-07-19,19:30:00,,2018-07-19 19:30:00,21.2367,53.063,11.2933
,,13,2018-07-19,19:40:00,,2018-07-19 19:40:00,21.2689,53.0324,11.3145
,,14,2018-07-19,19:50:00,,2018-07-19 19:50:00,21.3225,53.3758,11.4617
,,15,2018-07-19,20:00:00,,2018-07-19 20:00:00,21.3225,53.3529,11.4552
,,16,2018-07-19,20:10:00,,2018-07-19 20:10:00,21.3547,53.1469,11.4265
,,17,2018-07-19,20:20:00,,2018-07-19 20:20:00,21.3761,53.0019,11.4051
,,18,2018-07-19,20:30:00,,2018-07-19 20:30:00,21.3547,53.0019,11.3852
,,19,2018-07-19,20:40:00,,2018-07-19 20:40:00,21.3654,52.918,11.3712
,,20,2018-07-19,20:50:00,,2018-07-19 20:50:00,21.3976,52.9409,11.4075
,,21,2018-07-19,21:00:00,,2018-07-19 21:00:00,21.3868,52.8875,11.3823
,,22,2018-07-19,21:10:00,,2018-07-19 21:10:00,21.4083,52.918,11.4109
,,23,2018-07-19,21:20:00,,2018-07-19 21:20:00,21.4405,52.8875,11.432
,,24,2018-07-19,21:30:00,,2018-07-19 21:30:00,21.4297,52.7959,11.3959
,,25,2018-07-19,21:40:00,,2018-07-19 21:40:00,21.4512,52.8264,11.4245
,,26,2018-07-19,21:50:00,,2018-07-19 21:50:00,21.4941,53.063,11.5317
,,27,2018-07-19,22:00:00,,2018-07-19 22:00:00,21.4941,52.9714,11.5056
,,28,2018-07-19,22:10:00,,2018-07-19 22:10:00,21.4941,52.9409,11.4969
,,29,2018-07-19,22:20:00,,2018-07-19 22:20:00,21.5155,52.773,11.4687
,,30,2018-07-19,22:30:00,,2018-07-19 22:30:00,21.5155,52.8264,11.484
,,31,2018-07-19,22:40:00,,2018-07-19 22:40:00,21.5048,53.0935,11.5504
,,32,2018-07-19,22:50:00,,2018-07-19 22:50:00,21.5263,52.857,11.5027
,,33,2018-07-19,23:00:00,,2018-07-19 23:00:00,21.5263,52.8264,11.4939
,,34,2018-07-19,23:10:00,,2018-07-19 23:10:00,21.5155,52.8875,11.5015
,,35,2018-07-19,23:20:00,,2018-07-19 23:20:00,21.5263,52.9714,11.5354
,,36,2018-07-19,23:30:00,,2018-07-19 23:30:00,21.537,52.857,11.5126
,,37,2018-07-19,23:40:00,,2018-07-19 23:40:00,21.537,52.918,11.5301
,,38,2018-07-19,23:50:00,,2018-07-19 23:50:00,21.5477,52.7959,11.5051
,,39,2018-07-20,00:00:00,,2018-07-20 00:00:00,21.5477,52.6815,11.4722
,,40,2018-07-20,00:10:00,,2018-07-20 00:10:00,21.5263,52.712,11.4612
,,41,2018-07-20,00:20:00,,2018-07-20 00:20:00,21.4834,52.8264,11.4542
