# Omega OM-92 Logger 

# Configuration :
DeviceID,677
LoggingStart,On Disconnection
LoggingStartTime,07.23 16:07:00
LoggingInterval,10 mins
TemperatureLoggingEnable,true
TemperatureAlarmThresholdHigh,nan
TemperatureAlarmThresholdLow,nan
HumidityLoggingEnable,true
HumidityAlarmThresholdHigh,nan
HumidityAlarmThresholdLow,nan
Celcius/Fahrenheit,Celcius

,,# Sample Info :,,,,#Plot 
,,Data No,Date,Time,,Date/Time,Temperature,Humidity,DewPoint
,,1,2018-07-19,16:20:00,,2018-07-19 16:20:00,27.0888,41.718,12.9746
,,2,2018-07-19,16:30:00,,2018-07-19 16:30:00,24.2038,47.4401,12.3235
,,3,2018-07-19,16:40:00,,2018-07-19 16:40:00,22.2947,53.2766,12.3342
,,4,2018-07-19,16:50:00,,2018-07-19 16:50:00,21.6941,55.573,12.4191
,,5,2018-07-19,17:00:00,,2018-07-19 17:00:00,21.4689,55.8019,12.2719
,,6,2018-07-19,17:10:00,,2018-07-19 17:10:00,21.3402,56.1834,12.2557
,,7,2018-07-19,17:20:00,,2018-07-19 17:20:00,21.2865,56.0003,12.156
,,8,2018-07-19,17:30:00,,2018-07-19 17:30:00,21.2651,56.0918,12.1609
,,9,2018-07-19,17:40:00,,2018-07-19 17:40:00,21.5225,55.3365,12.1945
,,10,2018-07-19,17:50:00,,2018-07-19 17:50:00,21.3938,56.2673,12.3284
,,11,2018-07-19,18:00:00,,2018-07-19 18:00:00,21.3509,55.8324,12.1703
,,12,2018-07-19,18:10:00,,2018-07-19 18:10:00,21.3402,55.718,12.1292
,,13,2018-07-19,18:20:00,,2018-07-19 18:20:00,21.3294,55.573,12.0796
,,14,2018-07-19,18:30:00,,2018-07-19 18:30:00,21.3402,55.6875,12.1208
,,15,2018-07-19,18:40:00,,2018-07-19 18:40:00,21.3509,55.5425,12.0912
,,16,2018-07-19,18:50:00,,2018-07-19 18:50:00,21.3723,55.3976,12.0715
,,17,2018-07-19,19:00:00,,2018-07-19 19:00:00,21.3831,55.306,12.0563
,,18,2018-07-19,19:10:00,,2018-07-19 19:10:00,21.3938,55.2831,12.06
,,19,2018-07-19,19:20:00,,2018-07-19 19:20:00,21.4474,55.0771,12.0532
,,20,2018-07-19,19:30:00,,2018-07-19 19:30:00,21.4581,55.0771,12.0632
,,21,2018-07-19,19:40:00,,2018-07-19 19:40:00,21.4903,55.1382,12.1099
,,22,2018-07-19,19:50:00,,2018-07-19 19:50:00,21.5225,55.5425,12.251
,,23,2018-07-19,20:00:00,,2018-07-19 20:00:00,21.5332,55.4815,12.2443
,,24,2018-07-19,20:10:00,,2018-07-19 20:10:00,21.5654,55.2526,12.2113
,,25,2018-07-19,20:20:00,,2018-07-19 20:20:00,21.5868,54.9932,12.1597
,,26,2018-07-19,20:30:00,,2018-07-19 20:30:00,21.5761,54.9627,12.1413
,,27,2018-07-19,20:40:00,,2018-07-19 20:40:00,21.5868,54.8788,12.128
,,28,2018-07-19,20:50:00,,2018-07-19 20:50:00,21.6083,54.8177,12.1311
,,29,2018-07-19,21:00:00,,2018-07-19 21:00:00,21.6083,54.7872,12.1226
,,30,2018-07-19,21:10:00,,2018-07-19 21:10:00,21.619,54.8482,12.1495
,,31,2018-07-19,21:20:00,,2018-07-19 21:20:00,21.6405,54.7338,12.1377
,,32,2018-07-19,21:30:00,,2018-07-19 21:30:00,21.6405,54.7567,12.144
,,33,2018-07-19,21:40:00,,2018-07-19 21:40:00,21.6512,54.7338,12.1477
,,34,2018-07-19,21:50:00,,2018-07-19 21:50:00,21.6726,55.1916,12.2943
,,35,2018-07-19,22:00:00,,2018-07-19 22:00:00,21.6726,55.0542,12.2564
,,36,2018-07-19,22:10:00,,2018-07-19 22:10:00,21.6834,54.9322,12.2326
,,37,2018-07-19,22:20:00,,2018-07-19 22:20:00,21.6941,54.7033,12.1791
,,38,2018-07-19,22:30:00,,2018-07-19 22:30:00,21.6941,54.7643,12.196
,,39,2018-07-19,22:40:00,,2018-07-19 22:40:00,21.6941,55.0542,12.2763
,,40,2018-07-19,22:50:00,,2018-07-19 22:50:00,21.7048,54.8788,12.2377
,,41,2018-07-19,23:00:00,,2018-07-19 23:00:00,21.7155,54.8177,12.2308
,,42,2018-07-19,23:10:00,,2018-07-19 23:10:00,21.7048,54.8788,12.2377
,,43,2018-07-19,23:20:00,,2018-07-19 23:20:00,21.7048,54.8482,12.2293
