# Omega OM-92 Logger 

# Configuration :
DeviceID,7555
LoggingStart,Button Press
LoggingStartTime,07.23 16:04:00
LoggingInterval,10 mins
TemperatureLoggingEnable,true
TemperatureAlarmThresholdHigh,nan
TemperatureAlarmThresholdLow,nan
HumidityLoggingEnable,true
HumidityAlarmThresholdHigh,nan
HumidityAlarmThresholdLow,nan
Celcius/Fahrenheit,Celcius

,,# Sample Info :,,,,#Plot 
,,Data No,Date,Time,,Date/Time,Temperature,Humidity,DewPoint
,,1,2018-07-19,17:30:00,,2018-07-19 17:30:00,27.1068,41.0467,12.7427
,,2,2018-07-19,17:40:00,,2018-07-19 17:40:00,22.066,52.9561,12.0307
,,3,2018-07-19,17:50:00,,2018-07-19 17:50:00,21.1436,56.8471,12.251
,,4,2018-07-19,18:00:00,,2018-07-19 18:00:00,20.9506,56.6183,12.0094
,,5,2018-07-19,18:10:00,,2018-07-19 18:10:00,20.897,56.7327,11.99
,,6,2018-07-19,18:20:00,,2018-07-19 18:20:00,20.8648,56.7022,11.9518
,,7,2018-07-19,18:30:00,,2018-07-19 18:30:00,20.8862,56.7861,11.9943
,,8,2018-07-19,18:40:00,,2018-07-19 18:40:00,20.8862,56.6411,11.9555
,,9,2018-07-19,18:50:00,,2018-07-19 18:50:00,20.897,56.5267,11.9348
,,10,2018-07-19,19:00:00,,2018-07-19 19:00:00,20.9184,56.6488,11.9876
,,11,2018-07-19,19:10:00,,2018-07-19 19:10:00,20.9291,56.6717,12.0037
,,12,2018-07-19,19:20:00,,2018-07-19 19:20:00,20.9506,56.5877,12.0012
,,13,2018-07-19,19:30:00,,2018-07-19 19:30:00,20.9613,56.3817,11.9559
,,14,2018-07-19,19:40:00,,2018-07-19 19:40:00,20.9935,56.2978,11.9633
,,15,2018-07-19,19:50:00,,2018-07-19 19:50:00,21.0257,56.9616,12.1714
,,16,2018-07-19,20:00:00,,2018-07-19 20:00:00,21.0471,56.7022,12.122
,,17,2018-07-19,20:10:00,,2018-07-19 20:10:00,21.0686,56.8777,12.189
,,18,2018-07-19,20:20:00,,2018-07-19 20:20:00,21.0793,56.4428,12.0824
,,19,2018-07-19,20:30:00,,2018-07-19 20:30:00,21.0793,56.3589,12.0598
,,20,2018-07-19,20:40:00,,2018-07-19 20:40:00,21.0686,56.2673,12.0251
,,21,2018-07-19,20:50:00,,2018-07-19 20:50:00,21.0793,56.2368,12.0268
,,22,2018-07-19,21:00:00,,2018-07-19 21:00:00,21.0793,56.2978,12.0433
,,23,2018-07-19,21:10:00,,2018-07-19 21:10:00,21.1007,56.3589,12.0798
,,24,2018-07-19,21:20:00,,2018-07-19 21:20:00,21.1222,56.3589,12.0998
,,25,2018-07-19,21:30:00,,2018-07-19 21:30:00,21.1115,56.2139,12.0506
,,26,2018-07-19,21:40:00,,2018-07-19 21:40:00,21.1222,56.2368,12.0668
,,27,2018-07-19,21:50:00,,2018-07-19 21:50:00,21.1436,56.3283,12.1116
,,28,2018-07-19,22:00:00,,2018-07-19 22:00:00,21.1544,56.5267,12.175
,,29,2018-07-19,22:10:00,,2018-07-19 22:10:00,21.1651,56.4733,12.1706
,,30,2018-07-19,22:20:00,,2018-07-19 22:20:00,21.1651,56.3283,12.1316
,,31,2018-07-19,22:30:00,,2018-07-19 22:30:00,21.1651,56.2368,12.1068
,,32,2018-07-19,22:40:00,,2018-07-19 22:40:00,21.1651,56.5267,12.185
,,33,2018-07-19,22:50:00,,2018-07-19 22:50:00,21.1758,56.0918,12.0776
,,34,2018-07-19,23:00:00,,2018-07-19 23:00:00,21.1758,56.0918,12.0776
,,35,2018-07-19,23:10:00,,2018-07-19 23:10:00,21.1758,56.3283,12.1416
,,36,2018-07-19,23:20:00,,2018-07-19 23:20:00,21.1758,56.5267,12.195
,,37,2018-07-19,23:30:00,,2018-07-19 23:30:00,21.1758,56.4428,12.1724
,,38,2018-07-19,23:40:00,,2018-07-19 23:40:00,21.1651,56.5877,12.2014
,,39,2018-07-19,23:50:00,,2018-07-19 23:50:00,21.1758,56.4123,12.1642
,,40,2018-07-20,00:00:00,,2018-07-20 00:00:00,21.1865,56.0689,12.0814
,,41,2018-07-20,00:10:00,,2018-07-20 00:10:00,21.1544,55.9774,12.0266
,,42,2018-07-20,00:20:00,,2018-07-20 00:20:00,21.1115,56.2978,12.0733
,,43,2018-07-20,00:30:00,,2018-07-20 00:30:00,21.0578,56.7022,12.132
,,44,2018-07-20,00:40:00,,2018-07-20 00:40:00,21.0149,56.8166,12.1226
,,45,2018-07-20,00:50:00,,2018-07-20 00:50:00,20.9935,56.5877,12.0413
,,46,2018-07-20,01:00:00,,2018-07-20 01:00:00,20.9613,57.2286,12.1824
,,47,2018-07-20,01:10:00,,2018-07-20 01:10:00,20.9291,56.9921,12.0894
