# Omega OM-92 Logger 

# Configuration :
DeviceID,4985
LoggingStart,Button Press
LoggingStartTime,07.23 16:07:00
LoggingInterval,10 mins
TemperatureLoggingEnable,true
TemperatureAlarmThresholdHigh,nan
TemperatureAlarmThresholdLow,nan
HumidityLoggingEnable,true
HumidityAlarmThresholdHigh,nan
HumidityAlarmThresholdLow,nan
Celcius/Fahrenheit,Celcius

,,# Sample Info :,,,,#Plot 
,,Data No,Date,Time,,Date/Time,Temperature,Humidity,DewPoint
,,1,2018-07-19,17:40:00,,2018-07-19 17:40:00,21.208,59.6853,13.0548
,,2,2018-07-19,17:50:00,,2018-07-19 17:50:00,21.1651,60.4101,13.1994
,,3,2018-07-19,18:00:00,,2018-07-19 18:00:00,21.1436,59.8607,13.0393
,,4,2018-07-19,18:10:00,,2018-07-19 18:10:00,21.1329,59.6548,12.9765
,,5,2018-07-19,18:20:00,,2018-07-19 18:20:00,21.1222,59.5403,12.937
,,6,2018-07-19,18:30:00,,2018-07-19 18:30:00,21.1436,59.6548,12.9866
,,7,2018-07-19,18:40:00,,2018-07-19 18:40:00,21.1544,59.4793,12.9516
,,8,2018-07-19,18:50:00,,2018-07-19 18:50:00,21.1651,59.3343,12.9243
,,9,2018-07-19,19:00:00,,2018-07-19 19:00:00,21.1865,59.2809,12.9307
,,10,2018-07-19,19:10:00,,2018-07-19 19:10:00,21.2187,59.197,12.9392
,,11,2018-07-19,19:20:00,,2018-07-19 19:20:00,21.2402,59.0749,12.9277
,,12,2018-07-19,19:30:00,,2018-07-19 19:30:00,21.2616,59.0215,12.934
,,13,2018-07-19,19:40:00,,2018-07-19 19:40:00,21.2831,59.0749,12.968
,,14,2018-07-19,19:50:00,,2018-07-19 19:50:00,21.326,59.3954,13.091
,,15,2018-07-19,20:00:00,,2018-07-19 20:00:00,21.3581,59.3648,13.1134
,,16,2018-07-19,20:10:00,,2018-07-19 20:10:00,21.3903,59.1054,13.0765
,,17,2018-07-19,20:20:00,,2018-07-19 20:20:00,21.4118,58.8766,13.0372
,,18,2018-07-19,20:30:00,,2018-07-19 20:30:00,21.401,58.846,13.0192
,,19,2018-07-19,20:40:00,,2018-07-19 20:40:00,21.4118,58.7621,13.0074
,,20,2018-07-19,20:50:00,,2018-07-19 20:50:00,21.4118,58.7011,12.9915
,,21,2018-07-19,21:00:00,,2018-07-19 21:00:00,21.4225,58.6477,12.9876
,,22,2018-07-19,21:10:00,,2018-07-19 21:10:00,21.4439,58.7011,13.0217
,,23,2018-07-19,21:20:00,,2018-07-19 21:20:00,21.4761,58.5866,13.022
,,24,2018-07-19,21:30:00,,2018-07-19 21:30:00,21.4761,58.5256,13.006
,,25,2018-07-19,21:40:00,,2018-07-19 21:40:00,21.4868,58.5561,13.024
,,26,2018-07-19,21:50:00,,2018-07-19 21:50:00,21.519,58.991,13.1675
,,27,2018-07-19,22:00:00,,2018-07-19 22:00:00,21.5297,58.7926,13.126
,,28,2018-07-19,22:10:00,,2018-07-19 22:10:00,21.5405,58.6782,13.1062
,,29,2018-07-19,22:20:00,,2018-07-19 22:20:00,21.5405,58.5332,13.0683
,,30,2018-07-19,22:30:00,,2018-07-19 22:30:00,21.5405,58.5332,13.0683
,,31,2018-07-19,22:40:00,,2018-07-19 22:40:00,21.5512,58.846,13.16
,,32,2018-07-19,22:50:00,,2018-07-19 22:50:00,21.5726,58.6172,13.1204
,,33,2018-07-19,23:00:00,,2018-07-19 23:00:00,21.5726,58.5866,13.1124
,,34,2018-07-19,23:10:00,,2018-07-19 23:10:00,21.5726,58.5638,13.1064
,,35,2018-07-19,23:20:00,,2018-07-19 23:20:00,21.5726,58.5638,13.1064
,,36,2018-07-19,23:30:00,,2018-07-19 23:30:00,21.5834,58.4112,13.0765
,,37,2018-07-19,23:40:00,,2018-07-19 23:40:00,21.5726,58.4417,13.0745
